compound_sample,compound_number,TIC
N12_1696,241,41685.788641
N12_1696,389,31888.836372
N12_1696,691,282979.799070
N12_1696,699,6087.193895
N12_1696,898,1104.071374
N12_1696,906,2997.406913
N12_1696,949,14742.609040
N12_1696,979,1566.076480
N12_1696,995,1023.357239
N12_1696,1008,1978.743027
N12_1696,1010,1213.457363
N12_1696,1019,2223.576786
N12_1696,1037,2569.746472
N12_1696,1059,20938.140422
N12_1696,1082,1652.099294
N12_1696,1129,4065.827079
N12_1696,1136,2112.819999
N12_1696,1138,5962.923085
N12_1696,1191,1819.697731
N12_1696,1317,21143.932582
N12_1696,1323,4611.006474
N12_1696,1396,11132.715818
N12_1696,1562,51704.991091
N12_1696,1564,2200.083206
N12_1696,1611,4845.475700
N12_1696,1898,1039.085765
N12_1696,1926,14677.274491
N12_1696,2051,1302.106651
N12_1696,2187,1724.548368
N12_1696,2288,2231.145637
N12_1696,2318,57275.783889
N12_1696,2340,12503.762900
N12_1696,2533,30541.075630
N12_1696,2534,12556.197740
N12_1696,2548,4311.299703
N12_1696,2579,1736.481922
N12_1696,2689,1835.114570
N12_1696,2864,3908.396986
N12_1696,2985,12967.414560
N12_1696,3014,2729.592729
N12_1696,3104,1377.227601
N12_1696,3113,1296.365311
N12_1696,3186,6081.537204
N12_1696,3222,1701.555784
N12_1696,3492,1278.348456
N12_1696,3512,1856.630928
N12_1696,3579,2036.510009
N12_1696,3587,3151.244576
N12_1696,3755,2659.495554
N12_1696,3780,1332.431050
N12_1696,3965,2349.733405
N12_1696,3983,1146.054973
N12_1696,3988,1652.348028
N12_1696,4061,8720.580637
N12_1696,4166,1979.619871
N12_1696,4169,1004.621941
N12_1696,4269,1282.787961
N12_1696,4277,1764.193035
N12_1696,4425,1340.131386
N12_1696,4442,2410.901435
N12_1696,4462,1371.163603
N12_1696,4510,3960.849951
IngU_1933,32,2736541.945923
IngU_1933,60,2453567.909138
IngU_1933,61,654181.961643
IngU_1933,73,401902.398705
IngU_1933,77,564042.111321
IngU_1933,96,18763.826826
IngU_1933,139,24513.395265
IngU_1933,141,213843.912290
IngU_1933,150,63963.915208
IngU_1933,181,443986.675464
IngU_1933,189,932855.513676
IngU_1933,216,269320.668677
IngU_1933,230,319101.092938
IngU_1933,231,11082.884675
IngU_1933,244,5516.533337
IngU_1933,251,269814.675953
IngU_1933,291,193508.182533
IngU_1933,293,93005.997685
IngU_1933,324,12929.000302
IngU_1933,356,65716.380777
IngU_1933,368,32903.564601
IngU_1933,408,95628.834610
IngU_1933,429,138094.830765
IngU_1933,436,11350.832680
IngU_1933,439,93774.902495
IngU_1933,441,85761.054861
IngU_1933,468,63559.514548
IngU_1933,480,78934.296825
IngU_1933,492,129595.087669
IngU_1933,494,106757.072363
IngU_1933,513,1314.972587
IngU_1933,550,100355.303512
IngU_1933,604,112182.068827
IngU_1933,639,119289.769194
IngU_1933,687,72788.245771
IngU_1933,694,8139.769709
IngU_1933,721,2629.856421
IngU_1933,794,21724.026754
IngU_1933,818,62664.340766
IngU_1933,840,104006.645339
IngU_1933,848,40300.373028
IngU_1933,881,75012.443869
IngU_1933,885,1216.605360
IngU_1933,898,3720.683833
IngU_1933,900,1045.542994
IngU_1933,902,1217.521684
IngU_1933,916,2739.274587
IngU_1933,979,4263.924114
IngU_1933,985,31233.574585
IngU_1933,996,20297.103504
IngU_1933,1000,1310.440489
IngU_1933,1012,35033.278350
IngU_1933,1082,36876.238740
IngU_1933,1112,71661.270571
IngU_1933,1125,2873.996960
IngU_1933,1133,2716.974795
IngU_1933,1137,6425.947470
IngU_1933,1138,8298.930626
IngU_1933,1142,13208.211407
IngU_1933,1168,1008.695280
IngU_1933,1191,6489.199808
IngU_1933,1199,2059.801203
IngU_1933,1210,14196.465030
IngU_1933,1234,83532.622800
IngU_1933,1239,5829.999560
IngU_1933,1279,1132.993287
IngU_1933,1323,1466.575894
IngU_1933,1362,101901.092601
IngU_1933,1370,30255.861051
IngU_1933,1371,6046.533147
IngU_1933,1409,1005.192481
IngU_1933,1502,22240.631640
IngU_1933,1512,6964.344051
IngU_1933,1542,3446.614522
IngU_1933,1570,1401.330788
IngU_1933,1586,1065.040618
IngU_1933,1601,36829.793800
