cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
32	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	349.058	2779	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
33	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	836.15	920	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
34	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	285.06	333	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
35	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	684.113	1320	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
36	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	207.077	489	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
37	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	675.358	1036	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
38	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	299.222	841	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
39	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	449.108	18	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
40	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	452.277	815	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
41	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	327.253	1186	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
42	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	311.222	3502	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
43	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	197.117	1184	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
44	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	341.139	3191	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
45	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	299.055	405	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
46	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	507.222	2288	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
47	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	463.087	1039	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
48	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	505.207	2705	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
49	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	169.013	804	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
50	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	465.103	135	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
51	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	209.03	1217	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
52	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	684.104	306	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
53	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	513.307	4553	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
54	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	761.134	1833	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
55	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	269.213	3439	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
56	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	760.125	1267	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
57	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	332.076	56	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
58	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	836.131	2633	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
59	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	411.022	3675	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
60	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	305.068	1188	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
61	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	180.066	358	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
62	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	636.098	2367	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
63	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	449.071	1074	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
64	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	599.103	867	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
65	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	767.111	768	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
66	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	479.082	3109	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
67	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	491.139	2330	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
68	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	343.066	92	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
69	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	788.11	1842	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
