"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"1","IngA_1619",2776778.538862,34774.321655,"IngA",14.8368020147697,10.4566345099155,0.987631631564414,0.012368368435586,25.54285714,0,0,1,0.987631631564414,0.012368368435586
"2","IngA_1620",3211394.139314,22170.53064,"IngA",14.9822157121331,10.0065192373713,0.993143625409442,0.00685637459055841,25.54285714,0,0,1,0.993143625409442,0.00685637459055841
"3","IngA_1677",2744802.104033,26680.293457,"IngA",14.8252195370785,10.191680499107,0.990373276957789,0.0096267230422113,25.54285714,0,0,1,0.990373276957789,0.0096267230422113
"4","IngA_1884",4131429.751861,27070.278366,"IngA",15.2341340919196,10.2061916657472,0.993490374373155,0.00650962562684467,25.54285714,0,0,1,0.993490374373155,0.00650962562684467
"5","IngA_1885",1241445.730077,30240.610901,"IngA",14.0317871697868,10.3169410318421,0.976220070998212,0.0237799290017877,25.54285714,0,0,1,0.976220070998212,0.0237799290017877
"6","IngC_1625",4671405.713742,140720.444688,"IngC",15.3569705937174,11.8545305394974,0.970757116489666,0.0292428835103341,26.78,0,0,1,0.970757116489666,0.0292428835103341
"7","IngC_1626",4256917.493715,29053.098449,"IngC",15.2640558633011,10.2768804157662,0.993221349091355,0.00677865090864541,26.78,0,0,1,0.993221349091355,0.00677865090864541
"8","IngC_1678",5636238.534561,62674.072693,"IngC",15.5447274744836,11.0457031274324,0.989002450640632,0.0109975493593679,26.78,0,0,1,0.989002450640632,0.0109975493593679
"9","IngC_1679",4301413.14784,84738.117569,"IngC",15.2744541657064,11.3473208097374,0.980680530049823,0.019319469950177,26.78,0,0,1,0.980680530049823,0.019319469950177
"10","IngC_1681",2667873.784533,176266.819182,"IngC",14.7967923777521,12.0797541441045,0.938024576228137,0.0619754237718632,26.78,0,0,1,0.938024576228137,0.0619754237718632
"11","IngF_1594",18362184.226441,15683.338973,"IngF",16.7258039026624,9.66035421594153,0.999146618130902,0.000853381869097537,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762192399210521,0.000650996723050503
"12","IngF_1595",9601197.157061,0,"IngF",16.0773983525237,-Inf,1,0,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762843395933571,0
"13","IngF_1598",23848160.579424,21036.581574,"IngF",16.9872176477719,9.95401818093289,0.99911867242823,0.000881327571769927,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762171081015792,0.000672314917778859
"14","IngF_1886",37104419.476867,19683.752502,"IngF",17.4292466438487,9.88754882834454,0.999469785104831,0.000530214895168919,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762438925002366,0.00040447093120522
"15","IngF_1887",42434788.472029,79802.877777,"IngF",17.563479066621,11.2873148451561,0.998122929675593,0.00187707032440673,36.8625,0.1146,0.237156604066429,0.762843395933571,0.761411485232895,0.00143191070067656
"16","IngG_1592",21063577.275927,37793.357636,"IngG",16.8630559114005,10.5398886422511,0.998208961953595,0.00179103804640479,45.06,0,0,1,0.998208961953595,0.00179103804640479
"17","IngG_1623",20729607.934085,32166.644074,"IngG",16.8470735712608,10.378685296296,0.998450679446841,0.0015493205531592,45.06,0,0,1,0.998450679446841,0.0015493205531592
"18","IngG_1624",22016609.039323,14573.856812,"IngG",16.9073076828193,9.58698457328832,0.999338489590835,0.000661510409164491,45.06,0,0,1,0.999338489590835,0.000661510409164491
"19","IngG_1680",17253605.766782,66642.44487,"IngG",16.6635317095563,11.1070969638928,0.996152338924037,0.00384766107596351,45.06,0,0,1,0.996152338924037,0.00384766107596351
"20","IngG_1707",29220754.524949,20402.091248,"IngG",17.1903897861625,9.92339268673516,0.999302281660203,0.000697718339797102,45.06,0,0,1,0.999302281660203,0.000697718339797102
"21","IngM_1562",3377373.791978,9832146.460252,"IngM",15.0326089808283,16.1011678263998,0.255677248491128,0.744322751508872,32.12,0,0,1,0.255677248491128,0.744322751508872
"22","IngM_1563",4733048.391573,10343082.156263,"IngM",15.3700800331279,16.1518284635038,0.313943181677501,0.686056818322499,32.12,0,0,1,0.313943181677501,0.686056818322499
"23","IngM_1606",4852905.388811,14265647.60323,"IngM",15.3950881327947,16.4733649396526,0.253832253457218,0.746167746542782,32.12,0,0,1,0.253832253457218,0.746167746542782
"24","IngM_1609",2185766.191727,11631753.127686,"IngM",14.5974769848743,16.2692492549819,0.158188032250919,0.841811967749081,32.12,0,0,1,0.158188032250919,0.841811967749081
"25","IngM_1616",3485686.126844,12215651.01355,"IngM",15.0641754628111,16.318228557492,0.221999317362377,0.778000682637623,32.12,0,0,1,0.221999317362377,0.778000682637623
"26","IngMu_1561",4508269.395855,25960.494293,"IngMu",15.3214239118627,10.1643312111992,0.994274552697602,0.00572544730239795,36.94,0,0,1,0.994274552697602,0.00572544730239795
"27","IngMu_1586",6485122.901463,23258.647797,"IngMu",15.6850213272051,10.054432290118,0.99642635459815,0.00357364540185025,36.94,0,0,1,0.99642635459815,0.00357364540185025
