"","species_code","sample","phenSumTIC","sapSumTIC","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"1","IngA","IngA_1619",601000.772577,14428.061141,13.3063514990024,9.57693027967733,0.97655608520349,0.0234439147965095,25.54285714,0,0,1,0.97655608520349,0.0234439147965095
"2","IngA","IngA_1620",577222.209903,10253.298178,13.265982583837,9.23535470627199,0.982546849975938,0.0174531500240624,25.54285714,0,0,1,0.982546849975938,0.0174531500240624
"3","IngA","IngA_1677",591589.34538,19300.421581,13.2905679998189,9.86788221822954,0.968406048644399,0.0315939513556006,25.54285714,0,0,1,0.968406048644399,0.0315939513556006
"4","IngA","IngA_1884",869673.505087,12042.825687,13.6758731386858,9.39622438293834,0.986341609805017,0.013658390194983,25.54285714,0,0,1,0.986341609805017,0.013658390194983
"5","IngA","IngA_1885",452935.164807,25328.982406,13.0235042701756,10.1397045687186,0.947039763374277,0.0529602366257228,25.54285714,0,0,1,0.947039763374277,0.0529602366257228
"6","IngC","IngC_1625",784645.026258,40023.702983,13.5729866986435,10.5972271321681,0.951466932643564,0.0485330673564361,26.78,0,0,1,0.951466932643564,0.0485330673564361
"7","IngC","IngC_1626",684321.406529,9347.826124,13.436182978826,9.14289909514344,0.986524087152823,0.013475912847177,26.78,0,0,1,0.986524087152823,0.013475912847177
"8","IngC","IngC_1678",964461.695346,21841.546052,13.7793253960198,9.99156921728009,0.977855141162224,0.0221448588377764,26.78,0,0,1,0.977855141162224,0.0221448588377764
"9","IngC","IngC_1679",1092547.749145,46455.275897,13.904022911308,10.746245320074,0.959214089097536,0.040785910902464,26.78,0,0,1,0.959214089097536,0.040785910902464
"10","IngC","IngC_1681",585895.025028,49381.919867,13.2808959143345,10.8073396415885,0.922267098997018,0.0777329010029822,26.78,0,0,1,0.922267098997018,0.0777329010029822
"11","IngF","IngF_1886",8632586.041139,4609.913645,15.9710546753138,8.43596440371113,0.999466271962668,0.000533728037332144,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762436245025068,0.000407150908503413
"12","IngF","IngF_1594",5731886.956842,3979.988216,15.5615553463195,8.28903413747008,0.999306122639503,0.000693877360497203,36.8625,0.1146,0.237156604066429,0.762843395933571,0.762314076171528,0.000529319762043109
"13","IngF","IngF_1598",5724706.320423,8658.041079,15.5603018083461,9.06624377261991,0.998489884728566,0.00151011527143407,36.8625,0.1146,0.237156604066429,0.762843395933571,0.761691414471659,0.00115198146191191
"14","IngF","IngF_1887",12576187.624003,28170.565726,16.3473157127513,10.2460329432389,0.997765013870444,0.00223498612955601,36.8625,0.1146,0.237156604066429,0.762843395933571,0.761138451524636,0.00170494440893493
"15","IngF","IngF_1595",2352163.292238,4250.567622,14.6708460125627,8.35480781111802,0.998196171014606,0.00180382898539416,36.8625,0.1146,0.237156604066429,0.762843395933571,0.76146735690467,0.00137603902890149
"16","IngG","IngG_1592",4861125.843576,14269.757732,15.3967806241056,9.56589773289159,0.997073107723162,0.00292689227683834,45.06,0,0,1,0.997073107723162,0.00292689227683834
"17","IngG","IngG_1623",5324201.72514,11738.909983,15.4877733475502,9.3706642426491,0.99780002987557,0.00219997012442951,45.06,0,0,1,0.99780002987557,0.00219997012442951
"18","IngG","IngG_1624",5556616.232039,12648.112585,15.5304998896,9.44526328025703,0.997728943752291,0.00227105624770877,45.06,0,0,1,0.997728943752291,0.00227105624770877
"19","IngG","IngG_1680",4662211.146609,25368.317676,15.3550003885452,10.1412563388455,0.994588183972286,0.00541181602771388,45.06,0,0,1,0.994588183972286,0.00541181602771388
"20","IngG","IngG_1707",5263886.134086,9752.026581,15.4763801206906,9.18523039685468,0.998150797175708,0.0018492028242921,45.06,0,0,1,0.998150797175708,0.0018492028242921
"21","IngM","IngM_1562",589068.424144,1963924.487792,13.2862976259103,14.4904553189863,0.230736411914788,0.769263588085212,32.12,0,0,1,0.230736411914788,0.769263588085212
"22","IngM","IngM_1563",815449.556565,2141528.407153,13.6114948432931,14.5770303410222,0.275771265992014,0.724228734007986,32.12,0,0,1,0.275771265992014,0.724228734007986
"23","IngM","IngM_1606",926879.171472,2668005.307552,13.7395784924409,14.796841675353,0.257832811285119,0.742167188714881,32.12,0,0,1,0.257832811285119,0.742167188714881
"24","IngM","IngM_1609",439093.985005,2531175.145679,12.9924687579932,14.7441942373223,0.147829696800534,0.852170303199466,32.12,0,0,1,0.147829696800534,0.852170303199466
"25","IngM","IngM_1616",675310.317422,2450430.719494,13.4229275937255,14.7117743709443,0.21604806970455,0.78395193029545,32.12,0,0,1,0.21604806970455,0.78395193029545
"26","IngMu","IngMu_1561",785618.212036,12174.919368,13.5742262180806,9.40713332517732,0.984739252710068,0.0152607472899321,36.94,0,0,1,0.984739252710068,0.0152607472899321
"27","IngMu","IngMu_1586",1044021.949475,12107.76092,13.8585910716051,9.40160192432393,0.988535725488234,0.0114642745117658,36.94,0,0,1,0.988535725488234,0.0114642745117658
"28","IngMu","IngMu_1605",850330.834821,4360.494001,13.6533807701775,8.38034063290643,0.994898165157461,0.00510183484253896,36.94,0,0,1,0.994898165157461,0.00510183484253896
"29","IngMu","IngMu_1607",1053371.180032,15910.001088,13.8675062266596,9.67470318971649,0.985120844386941,0.014879155613059,36.94,0,0,1,0.985120844386941,0.014879155613059
"30","IngMu","IngMu_1608",898880.651293,14240.255562,13.7089055474583,9.56382813157459,0.984404852133934,0.015595147866066,36.94,0,0,1,0.984404852133934,0.015595147866066
