"","LA1_edulis","LA10_umbellifera","LA12_capitataESU2","LA13_cylindrica","LA17_NA","LA18_chartacea","LA19_venusta","LA2_heterophylla","LA20a_nobilis","LA20b_nobilis","LA22_bourgonii","LA23_alata","LA25_acreana","LA26_setosa","LA28_venusta","LA3_alba","LA31_spectabilis","LA32_brachystachys","LA33_capitataESU1","LA34_tenuistipula","LA35_capitataESU3","LA37_punctata","LA4_thibaudiana","LA41_NA","LA42_fosteriana.","LA43_marginata","LA44_suaveolens","LA45_sapindoides","LA46_tomentosa","LA48_NA","LA49_ruiziana","LA55_NA","LA59_coruscans","LA6_NA","LA60_laurina","LA7_leiocalycina","LA8_auristellae","LA9_poeppigiana"
"LA1_edulis",0.723719058504723,0.276080321415276,0.303735318262438,0.0985937272259995,0.262988846938462,0.241009546801159,0.115432246801308,0.234692668883004,0.523809893681012,0.491787080824981,0.383077401081475,0.105036669565085,0.116576110670451,0.408749341520684,0.348928886857391,0.0342659048018683,0.353413322914742,0.353734187215291,0.284449215257465,0.538725736183604,0.308976413328306,0.350811782258972,0.300245631626321,0.458755346347529,0.586368179025435,0.122010383552751,0.366252666743118,0.0346682191469982,0.159937506409116,0.608561967860055,0.365989046162095,0.417478165094225,0.0726897208416018,0.396831214716173,0.234515712506791,0.39823327006247,0.12001396106175,0.321890052270174
"LA10_umbellifera",0.276080321415276,0.823100490375254,0.234494351072798,0.0855293063871959,0.205761045740327,0.152032608038669,0.0983001718787491,0.440478342813782,0.264225077842471,0.226071976546796,0.245660047682975,0.108415557240193,0.108598716236685,0.256137173137164,0.243124552101731,0.215321280447949,0.257284656731374,0.497062895332571,0.239626982997411,0.351191612629544,0.262532014199051,0.24328544835687,0.216282415117287,0.300772974984478,0.273088877037605,0.0917152741489539,0.251742660452628,0.0342561698173472,0.140840665966947,0.270956562126152,0.239721682869364,0.265687136299485,0.0615935191834774,0.263699473465208,0.455287767871534,0.259359735320681,0.106997165300338,0.205132743241292
"LA12_capitataESU2",0.303735318262438,0.234494351072798,0.824053300547293,0.0797987618729456,0.277807838397582,0.114584485634363,0.0733022268342977,0.381827924270329,0.297041168947979,0.247149397639909,0.18595504530902,0.125700582374013,0.0772323007960687,0.355076003372957,0.412310565690936,0.0342943356729726,0.378312021093841,0.377171374773176,0.720752071870936,0.27076931432073,0.686718402294458,0.340672899952235,0.266980210016532,0.324748969623479,0.310163707502345,0.0693755170266379,0.221186425358195,0.0267504082915515,0.0956911655869218,0.27906370517205,0.385890468101777,0.371655068567698,0.0582381844116682,0.363261443776663,0.379846116224092,0.26001561200311,0.105831737379356,0.296288413578796
"LA13_cylindrica",0.0985937272259995,0.0855293063871959,0.0797987618729456,0.757903957547695,0.0878775945111543,0.18737166193472,0.186111737289415,0.0961363941962848,0.0714285881028791,0.0793785877969151,0.139962284372563,0.261720396191539,0.20629453424518,0.138562184465793,0.134116813780249,0.0823999804269753,0.140912371650737,0.108083667470202,0.0859106136355521,0.0848578553546104,0.0931961337273075,0.124903392213758,0.109169319080244,0.0939529125940308,0.0845828131574162,0.213580270233005,0.0809518228041712,0.124368919427673,0.175428411766578,0.084305582334389,0.124277231691966,0.147041430576905,0.398641791187313,0.137962128600287,0.098562250217472,0.0765913133948744,0.223829346825969,0.117794956592729
"LA17_NA",0.262988846938462,0.205761045740327,0.277807838397582,0.0878775945111543,0.781588073789012,0.11449327579282,0.0939918139941475,0.267923716499484,0.233346777339186,0.190117343427098,0.188485747582283,0.108194047784311,0.094490850706968,0.355909759026889,0.340033665896515,0.0455472017121471,0.344553664928256,0.300239259906365,0.307055736499279,0.264364158983074,0.33357806795625,0.331944760505514,0.261843952093612,0.30917621863881,0.276415462330282,0.0779964987667734,0.273882424329404,0.0403584044730288,0.135967182009058,0.276616613580596,0.355243313018377,0.37639438325724,0.0647179937067253,0.345692967560008,0.262963658837774,0.243197531822244,0.105922514677416,0.254786695119441
"LA18_chartacea",0.241009546801159,0.152032608038669,0.114584485634363,0.18737166193472,0.11449327579282,0.870961371418879,0.39924708698896,0.113717339043087,0.199217290867037,0.223437756609213,0.343957942657173,0.181615769554721,0.544234326494179,0.161956391764478,0.140982253835241,0.0652974255313543,0.15120952085674,0.180049361874576,0.111885127048341,0.240048862499355,0.122849179142156,0.139759701464693,0.123142954540183,0.182038790255304,0.235279796858034,0.395051319060679,0.146325620641845,0.0728506202995948,0.540523742661882,0.228262308220396,0.152025936107255,0.162995739609382,0.200257034410404,0.149194270718483,0.121971464953514,0.156668152431818,0.5753783603615,0.116418111186191
"LA19_venusta",0.115432246801308,0.0983001718787491,0.0733022268342977,0.186111737289415,0.0939918139941475,0.39924708698896,0.842970486468608,0.0855188510584459,0.079128542407827,0.111071187696149,0.229773106361604,0.173887262413422,0.377916239499603,0.146171721792924,0.120280123546246,0.0793117577965039,0.143281989607717,0.0932670593170978,0.0847736581386045,0.129029982985805,0.0849620323793152,0.137412668039932,0.115958900515257,0.10556186609105,0.116446051647987,0.348130289645803,0.105910218023997,0.100967402738349,0.407316276843294,0.100542425460274,0.146913286599869,0.13666454546194,0.206946023481723,0.127828181633102,0.0865751353240716,0.103648288237765,0.38613571280899,0.103069710505878
"LA2_heterophylla",0.234692668883004,0.440478342813782,0.381827924270329,0.0961363941962848,0.267923716499484,0.113717339043087,0.0855188510584459,0.817120767875139,0.219091548941407,0.186427707253094,0.20634918060039,0.140959994527903,0.0927887536252665,0.292996999679337,0.335354096934328,0.225721664767772,0.346865240741827,0.617910122433249,0.410465904304168,0.304737827542585,0.429444004364434,0.345505195513336,0.268356087394345,0.263118602391216,0.24696880726076,0.0857181056004181,0.228504038244855,0.0368390906996967,0.122568811262248,0.227964005257116,0.312752270569121,0.330253527382917,0.0667234790033223,0.347511635079918,0.731563495358059,0.208830807234666,0.117255921453513,0.249172350617643
"LA20a_nobilis",0.523809893681012,0.264225077842471,0.297041168947979,0.0714285881028791,0.233346777339186,0.199217290867037,0.079128542407827,0.219091548941407,0.792479472381354,0.535425739752462,0.343195903813328,0.0822475018996116,0.103766994119792,0.338140014986751,0.310071649124081,0.0255762248066454,0.298394825399507,0.307649025649184,0.269201548322003,0.548105478054528,0.286484657519627,0.261701861678049,0.224987511317706,0.366730794328519,0.566261807450775,0.0956026553617813,0.266551454347943,0.026200698685919,0.120936163194457,0.607937300477287,0.362111192050084,0.328755992260604,0.0529568448237988,0.320067361078829,0.224791637332625,0.301902927163767,0.0913482423916435,0.277178380482584
"LA20b_nobilis",0.491787080824981,0.226071976546796,0.247149397639909,0.0793785877969151,0.190117343427098,0.223437756609213,0.111071187696149,0.186427707253094,0.535425739752462,0.609420157392522,0.374555173470748,0.0845049662463548,0.110771307532741,0.293826542977236,0.260847893284783,0.0339565580125677,0.277569268162376,0.256736788903036,0.222607249542825,0.496545430467165,0.228639899655038,0.250211883572785,0.22120061706112,0.341892306309265,0.525235790300804,0.138114272449018,0.252854096706864,0.0325987770621916,0.15621034334418,0.556822925834597,0.299706816712253,0.277047359250801,0.0699827302832462,0.275287951420518,0.177795863803418,0.311886440929186,0.109979418123883,0.248780724194188
"LA22_bourgonii",0.383077401081475,0.245660047682975,0.18595504530902,0.139962284372563,0.188485747582283,0.343957942657173,0.229773106361604,0.20634918060039,0.343195903813328,0.374555173470748,0.795063914614997,0.12991096348452,0.21221202806624,0.253825590183545,0.223518192559973,0.0566240351895507,0.248282615617013,0.278324172628897,0.186361692577466,0.392026899550895,0.1945592618466,0.244938659277178,0.207952030854397,0.279396141458485,0.377107390531533,0.275747829953545,0.248938746437331,0.058227087680979,0.278071831065459,0.385438467594883,0.249576452711049,0.258492498395596,0.12891288095102,0.250677535534626,0.215387302612232,0.260685232338643,0.218716168464378,0.196354993947303
"LA23_alata",0.105036669565085,0.108415557240193,0.125700582374013,0.261720396191539,0.108194047784311,0.181615769554721,0.173887262413422,0.140959994527903,0.0822475018996116,0.0845049662463548,0.12991096348452,0.809823042145322,0.195774971192991,0.14596913627911,0.151577649650102,0.0882752890483408,0.155134719963254,0.143608729232781,0.137030963247712,0.0900301073209475,0.152830539058564,0.135074079289035,0.113349291349072,0.109014789928733,0.100236551006751,0.16911147344636,0.0846707464642929,0.152315148343932,0.153654863099535,0.0863131192173215,0.13678998702471,0.164554138037065,0.212575574991901,0.148800656326147,0.150720666634219,0.0805423262583944,0.22545262694076,0.110551027718691
"LA25_acreana",0.116576110670451,0.108598716236685,0.0772323007960687,0.20629453424518,0.094490850706968,0.544234326494179,0.377916239499603,0.0927887536252665,0.103766994119792,0.110771307532741,0.21221202806624,0.195774971192991,0.773668738994194,0.145154743913095,0.117103989788111,0.0859662099749436,0.127882461095542,0.111939867312955,0.0839783420204015,0.117982922387633,0.0955365380603942,0.11566667116039,0.104926852749799,0.106555278059014,0.106971926453971,0.362963107186752,0.0967813908307203,0.104531376606694,0.439213389970739,0.103246150714185,0.126973934451448,0.142416573274057,0.21301117938567,0.130970862586957,0.101554067341859,0.0859498514066701,0.533501428824829,0.10317801596506
"LA26_setosa",0.408749341520684,0.256137173137164,0.355076003372957,0.138562184465793,0.355909759026889,0.161956391764478,0.146171721792924,0.292996999679337,0.338140014986751,0.293826542977236,0.253825590183545,0.14596913627911,0.145154743913095,0.830637059773073,0.554450339827073,0.0409518711633731,0.559137304416118,0.342635920386359,0.38110564978868,0.372019559056256,0.399118688414016,0.498395152140241,0.413607596603608,0.421384605240922,0.42951762497342,0.109454606507909,0.327140975947811,0.045865407998122,0.188418881078573,0.363012109799581,0.615938629287315,0.644979016292378,0.0988178481647932,0.572336841725165,0.282863338356487,0.310248846445589,0.170111205143664,0.465161170659544
