"","LA1_edulis","LA10_umbellifera","LA12_capitataESU2","LA13_cylindrica","LA17_NA","LA18_chartacea","LA19_venusta","LA2_heterophylla","LA20a_nobilis","LA20b_nobilis","LA22_bourgonii","LA23_alata","LA25_acreana","LA26_setosa","LA28_venusta","LA3_alba","LA31_spectabilis","LA32_brachystachys","LA33_capitataESU1","LA34_tenuistipula","LA35_capitataESU3","LA37_punctata","LA4_thibaudiana","LA41_NA","LA42_fosteriana?","LA43_marginata","LA44_suaveolens","LA45_sapindoides","LA46_tomentosa","LA48_NA","LA49_ruiziana","LA55_NA","LA59_coruscans","LA6_NA","LA60_laurina","LA7_leiocalycina","LA8_auristellae","LA9_poeppigiana"
"LA1_edulis",0.789771270761173,0.283349900881537,0.288706011405215,0.0995165169821123,0.239319520225559,0.245697239895034,0.0922022222935612,0.226930305597598,0.58709798800781,0.631740166980247,0.447952344019366,0.140126355829134,0.0877146666914218,0.404839857643106,0.357227924542902,0.0352234670831481,0.38159374157789,0.36381903842262,0.285416343930093,0.609585355840013,0.290772043109722,0.360023947361831,0.332726683500087,0.472769092947216,0.66093790925557,0.13179254107174,0.359912163393408,0.0357203128072316,0.156275418055244,0.665742100317894,0.371234333985223,0.432908370856305,0.0761953060224252,0.415626465449908,0.231411088068147,0.467686136164703,0.114271158701183,0.375378354984691
"LA10_umbellifera",0.283349900881537,0.84301089238605,0.223911912675128,0.0850217175545201,0.182296105148887,0.127335298217668,0.0795081175380253,0.43350871547014,0.276556776859853,0.248964180554824,0.249741154037824,0.139643662685802,0.0704027974181147,0.24826573212284,0.232690065111309,0.214829997103701,0.251090904425322,0.50274944827352,0.230007994351577,0.350372687311224,0.237931418528345,0.236338239012695,0.210770076651604,0.293226017560309,0.262305961973355,0.0887314272156263,0.247053070783317,0.0331580319716495,0.133083383308397,0.287444195125555,0.237436873027779,0.266750650486566,0.0628929744010073,0.267762813716829,0.440480078110559,0.286640411050553,0.0967097267576674,0.235994800474333
"LA12_capitataESU2",0.288706011405215,0.223911912675128,0.868705705021623,0.0772455413833023,0.229114051306643,0.0949015320506195,0.0570452405729663,0.382059700377479,0.268636893675632,0.248799885387056,0.172656563351458,0.18620430594303,0.0494500716427947,0.330739687236983,0.393388281619609,0.0321728472504227,0.378033734354449,0.368974657464227,0.801186946428062,0.235700278397889,0.735298908666456,0.337192312753217,0.289497124588097,0.314186716914998,0.254694785359753,0.0628791990731373,0.217076845955097,0.0264640345241599,0.0882861083777309,0.257655523781782,0.362635278570572,0.373376283767567,0.0556911045704038,0.377523768265482,0.398476757485563,0.279882479578121,0.0947815278652017,0.348113003375051
"LA13_cylindrica",0.0995165169821123,0.0850217175545201,0.0772455413833023,0.788121228237162,0.0751414680450056,0.16137154785689,0.154469097403539,0.0879871399890924,0.0731393095714368,0.0734203987002305,0.123323689477434,0.199500315627324,0.182080315573038,0.143877326567052,0.132194735491839,0.0561467376594036,0.148003766486522,0.110023420810078,0.0833197293605905,0.0796914126658152,0.0854104072204453,0.125848715942324,0.120265954360919,0.0914762288495582,0.0828950832454769,0.187614421948071,0.0881680050711402,0.0787715620315942,0.157515074205736,0.0830025476695641,0.131816330621022,0.151546967907274,0.335104886440078,0.143667834615733,0.0931812216303151,0.0872796957521451,0.21096979070204,0.147678078985719
"LA17_NA",0.239319520225559,0.182296105148887,0.229114051306643,0.0751414680450056,0.832493750055443,0.0862457313207738,0.0704905390500774,0.20771124274437,0.205183501830629,0.212435685741172,0.165471457523524,0.108943720355444,0.0590445392694796,0.281001770487004,0.269617881799643,0.0338145843139928,0.282485030558572,0.240880421310294,0.244168044188892,0.21740555465044,0.24959202266875,0.260255403198854,0.235548536702264,0.248228759290311,0.235961775476143,0.0687660263651826,0.227549551344686,0.0298700442414595,0.110084168999749,0.235187537581975,0.276907953598188,0.291710767867945,0.0525852315274551,0.29044609610039,0.198262462276289,0.236535451921008,0.0822790258442134,0.262276556470131
"LA18_chartacea",0.245697239895034,0.127335298217668,0.0949015320506195,0.16137154785689,0.0862457313207738,0.882342137858313,0.327840466968088,0.0952443574841326,0.202088656657333,0.222122723047643,0.298725884043908,0.168645193891287,0.605693617942201,0.136064397811424,0.121892357888629,0.0308760301642084,0.125249650110904,0.157797791852532,0.0939134846767205,0.23868810407633,0.0953614619758795,0.117857849356028,0.10874179586849,0.157304816663146,0.245651010634563,0.379638364323165,0.116377256113327,0.0431283642766251,0.560468515414759,0.223759009944219,0.131462811458881,0.143218946276584,0.166673673417769,0.134925864373975,0.10027823895434,0.165065180545334,0.623762574995502,0.117128390929889
"LA19_venusta",0.0922022222935612,0.0795081175380253,0.0570452405729663,0.154469097403539,0.0704905390500774,0.327840466968088,0.892912102890085,0.0670759906036558,0.0655402103872517,0.0737854255952511,0.163516241982718,0.153990806381836,0.296867858417881,0.112677835926254,0.0927538948287514,0.0385846462359505,0.112608339690828,0.0767865535205563,0.0633220351123913,0.0981560680860747,0.0634409601060289,0.107599361919593,0.0951740040082591,0.084530150537661,0.0972193965309588,0.311136678344705,0.0844893534813767,0.0700346295435329,0.338442866183535,0.0768345093911824,0.111818118442532,0.109043952405745,0.171347837135804,0.108597831355296,0.0694308171902365,0.0895319118786885,0.318939908389316,0.0879001502113086
"LA2_heterophylla",0.226930305597598,0.43350871547014,0.382059700377479,0.0879871399890924,0.20771124274437,0.0952443574841326,0.0670759906036558,0.855913366475107,0.19259877414394,0.184814766419099,0.190111664114423,0.175537207961115,0.0551081895240339,0.247071621652681,0.295359861053919,0.224566540942582,0.324021812142981,0.602160572778214,0.398258716045085,0.281392368695722,0.429752929198547,0.327535362527558,0.27129359748187,0.237632087637429,0.198006660268325,0.0786987050377529,0.202516798730524,0.033343312299991,0.110515688656075,0.222862779792648,0.270904046388822,0.289779826974674,0.0656535097389226,0.337452583685324,0.755355308638177,0.216797060664313,0.102835896186251,0.272914584841294
"LA20a_nobilis",0.58709798800781,0.276556776859853,0.268636893675632,0.0731393095714368,0.205183501830629,0.202088656657333,0.0655402103872517,0.19259877414394,0.856915690888928,0.636759730992927,0.384814912323552,0.108105910433641,0.0752636973035609,0.332235454774263,0.290379617444784,0.0256152817954538,0.300958352414758,0.319887675056779,0.255962412020069,0.572310189311705,0.267797639245402,0.269247314155017,0.254089216646118,0.373323059616757,0.591205354196335,0.103851663666015,0.241844425006795,0.0269974266125099,0.119914512458195,0.656389445632168,0.354674976558132,0.33212636900151,0.0585527351736565,0.322886527223313,0.194601276000334,0.362787210847277,0.0891497518085264,0.301658935589583
"LA20b_nobilis",0.631740166980247,0.248964180554824,0.248799885387056,0.0734203987002305,0.212435685741172,0.222122723047643,0.0737854255952511,0.184814766419099,0.636759730992927,0.781114424007275,0.418359082046302,0.104669821402769,0.070352071053412,0.346570590972048,0.293491912847798,0.0281487279273633,0.320086947175455,0.293200025914826,0.234693211662294,0.629849968073276,0.242745711155886,0.301357584970309,0.284976372326912,0.389577552379761,0.671716905466718,0.12035419643984,0.274887778078637,0.032322653801933,0.128209731901453,0.668748432445329,0.354488601979491,0.33024810993765,0.0629118141207683,0.336900872999235,0.173719375210982,0.41861477015611,0.0830296718602351,0.316161740582464
"LA22_bourgonii",0.447952344019366,0.249741154037824,0.172656563351458,0.123323689477434,0.165471457523524,0.298725884043908,0.163516241982718,0.190111664114423,0.384814912323552,0.418359082046302,0.804006815841172,0.148447908288001,0.140251906327572,0.260897398041296,0.226652964093278,0.0394288063375187,0.260282183208745,0.284687201731218,0.177831969488028,0.441038640669646,0.180837062813341,0.246066698899106,0.222924189984145,0.284208001202984,0.43337236221554,0.25339161347772,0.239972549628042,0.0451338300739231,0.225176515894559,0.426970094564068,0.250009094439979,0.269640954125696,0.10884721386322,0.272703612092267,0.195104087484576,0.302269449244005,0.175910001246767,0.230936424570495
"LA23_alata",0.140126355829134,0.139643662685802,0.18620430594303,0.199500315627324,0.108943720355444,0.168645193891287,0.153990806381836,0.175537207961115,0.108105910433641,0.104669821402769,0.148447908288001,0.840195232434932,0.145028463522568,0.181702109185605,0.197645472955842,0.0463249465638074,0.203117415601168,0.18598708383269,0.19843148578892,0.113501036719859,0.19651159240101,0.175987656590538,0.154913512828037,0.139120709417003,0.123382289556692,0.149376044038313,0.115035844549101,0.0764347622039217,0.170158212090531,0.111388746773388,0.182869690715879,0.21434350718454,0.182854987038736,0.201672398208539,0.213112729536249,0.119119692406302,0.200416414805534,0.170992790864544
"LA25_acreana",0.0877146666914218,0.0704027974181147,0.0494500716427947,0.182080315573038,0.0590445392694796,0.605693617942201,0.296867858417881,0.0551081895240339,0.0752636973035609,0.070352071053412,0.140251906327572,0.145028463522568,0.854239731066237,0.112335398142394,0.0840311873160831,0.0373104195849164,0.0900025925510012,0.0727379198371927,0.0528995054118918,0.0853361565841491,0.0548406995208018,0.0795615317499235,0.0775805315516642,0.0709425965680895,0.0836647804979171,0.341951301748746,0.0638940019849807,0.0666573994335464,0.473890652593222,0.0757679634981152,0.0992508008053739,0.106702140035083,0.202090837009804,0.0955165731200732,0.0583499001008345,0.0700413617439392,0.597711214753251,0.0889616777103216
"LA26_setosa",0.404839857643106,0.24826573212284,0.330739687236983,0.143877326567052,0.281001770487004,0.136064397811424,0.112677835926254,0.247071621652681,0.332235454774263,0.346570590972048,0.260897398041296,0.181702109185605,0.112335398142394,0.846157063810626,0.530278796541452,0.0428884513716078,0.582383077963358,0.301399436059457,0.350608736046461,0.336621221575477,0.348405237298248,0.474557034950002,0.491176705421404,0.370621081305641,0.394915755123189,0.114943116537555,0.316265559916729,0.0521524582996405,0.177915075950486,0.335338105680638,0.597872223396705,0.661888421017204,0.111617407150298,0.569395359732349,0.249085999839426,0.348488420317427,0.163957012370612,0.551759054817876
"LA28_venusta",0.357227924542902,0.232690065111309,0.393388281619609,0.132194735491839,0.269617881799643,0.121892357888629,0.0927538948287514,0.295359861053919,0.290379617444784,0.293491912847798,0.226652964093278,0.197645472955842,0.0840311873160831,0.530278796541452,0.819463102629156,0.0357642956066219,0.613702850999475,0.337207905640983,0.397082891468341,0.300568418820437,0.404798141156504,0.482220410747649,0.467495946473507,0.335625590982836,0.333698408465117,0.0868208278567337,0.263435085656264,0.0413066982507858,0.135686335199881,0.320172843026397,0.548589673789901,0.637109544051207,0.0980655938045937,0.5901945120289,0.300385567252409,0.31545846540937,0.166325085239944,0.581298953718654
"LA3_alba",0.0352234670831481,0.214829997103701,0.0321728472504227,0.0561467376594036,0.0338145843139928,0.0308760301642084,0.0385846462359505,0.224566540942582,0.0256152817954538,0.0281487279273633,0.0394288063375187,0.0463249465638074,0.0373104195849164,0.0428884513716078,0.0357642956066219,0.805587863712098,0.0530703770885561,0.217954387693263,0.0391664565751153,0.109474405436275,0.0368036495234212,0.0617584580520554,0.0533894610440414,0.038007632107636,0.0332867152109038,0.0592366166614149,0.0480740847676868,0.352816721024297,0.0483992518164225,0.0356354495397982,0.0444008943747843,0.0432986034251355,0.061587012077598,0.0498114513411146,0.22068496298975,0.0410914910103921,0.0412671839018101,0.0397898693233377
"LA31_spectabilis",0.38159374157789,0.251090904425322,0.378033734354449,0.148003766486522,0.282485030558572,0.125249650110904,0.112608339690828,0.324021812142981,0.300958352414758,0.320086947175455,0.260282183208745,0.203117415601168,0.0900025925510012,0.582383077963358,0.613702850999475,0.0530703770885561,0.819423374594941,0.342207497268841,0.388161823662845,0.324897375155192,0.399875246186896,0.582889620926924,0.538725746622275,0.387568110479155,0.369105942105002,0.113343532362329,0.34046472381322,0.0593553709716987,0.172526615304752,0.331444704438133,0.579653541090813,0.65387063060756,0.12234724592012,0.642618424591597,0.323099275411261,0.37703055493051,0.169685622849868,0.589179147245864
"LA32_brachystachys",0.36381903842262,0.50274944827352,0.368974657464227,0.110023420810078,0.240880421310294,0.157797791852532,0.0767865535205563,0.602160572778214,0.319887675056779,0.293200025914826,0.284687201731218,0.18598708383269,0.0727379198371927,0.301399436059457,0.337207905640983,0.217954387693263,0.342207497268841,0.883985969036212,0.348081827076926,0.401980059746223,0.366456676846672,0.31019398677901,0.277006356200426,0.351745450071515,0.330810884779983,0.0976758358842524,0.263892515275324,0.0338602712136951,0.137690229735247,0.373969462649312,0.315275894400822,0.353504058078923,0.0737478735657192,0.365605332181754,0.610738290336148,0.322155013892392,0.118856317811141,0.335236907299783
