"","LA1_edulis","LA10_umbellifera","LA12_capitataESU2","LA13_cylindrica","LA17_NA","LA18_chartacea","LA19_venusta","LA2_heterophylla","LA20a_nobilis","LA20b_nobilis","LA22_bourgonii","LA23_alata","LA25_acreana","LA26_setosa","LA28_venusta","LA3_alba","LA31_spectabilis","LA32_brachystachys","LA33_capitataESU1","LA34_tenuistipula","LA35_capitataESU3","LA37_punctata","LA4_thibaudiana","LA41_NA","LA42_fosteriana?","LA43_marginata","LA44_suaveolens","LA45_sapindoides","LA46_tomentosa","LA48_NA","LA49_ruiziana","LA55_NA","LA59_coruscans","LA6_NA","LA60_laurina","LA7_leiocalycina","LA8_auristellae","LA9_poeppigiana"
"LA1_edulis",0.766883987639098,0.302977054926472,0.314702853888909,0.110214744976481,0.283417849945848,0.228022836584878,0.121112738678523,0.254245233494014,0.561314710553385,0.580330843947267,0.416861083913382,0.146060976579475,0.098662562357279,0.427315548209354,0.387860761332232,0.0419060289385374,0.406082739093669,0.372814637202218,0.30067598344784,0.56571310192888,0.324334698302309,0.390318533891928,0.343053512621737,0.480347395555355,0.6273585142372,0.136944797096339,0.393107709108563,0.0459914153886227,0.189058588510432,0.626478410575318,0.394474781150014,0.451056357072912,0.0885952104473064,0.433957900250044,0.254603038990995,0.461761666730053,0.124422463864737,0.394614158543987
"LA10_umbellifera",0.302977054926472,0.837524040884415,0.255668092037649,0.0975845523017904,0.228644425591874,0.144308396210761,0.103534260307437,0.468531836277455,0.289494148765649,0.256567692817582,0.269062259557698,0.155012356679574,0.0911028762881779,0.277693040018661,0.26880463605758,0.221570945801872,0.277911416246085,0.530254770162818,0.266274516751431,0.374548675345633,0.288836474399031,0.25949303203363,0.224555333814307,0.323933955716796,0.298889448508762,0.101122980886181,0.268283584939959,0.0442760083128052,0.160346224295818,0.294766169902033,0.263198327573743,0.293261455293184,0.075359695952007,0.290235491679161,0.472302859323158,0.304272656279037,0.108869209865876,0.2506294140616
"LA12_capitataESU2",0.314702853888909,0.255668092037649,0.817521949719985,0.0857747530513476,0.27362085610725,0.109243994917358,0.0785898689986047,0.398393536715499,0.295971805671711,0.273488979300947,0.199481232803769,0.181730829600977,0.0643426411730223,0.351534338588823,0.409181518030407,0.0400396008474001,0.396032387277987,0.383731907991492,0.725618371419037,0.269899339305053,0.695685306870779,0.353151557012577,0.29369815726992,0.335798340548815,0.304976760858484,0.0785593291047885,0.240588151240761,0.035459864035729,0.114725122341927,0.278293455361791,0.368364161224396,0.376772714958809,0.0673101343233487,0.370777700737964,0.383419094698487,0.305780398769069,0.103790139032243,0.342065817703553
"LA13_cylindrica",0.110214744976481,0.0975845523017904,0.0857747530513476,0.749897468445188,0.0974367017271791,0.181599852854678,0.188809365682832,0.105284866791631,0.0813479975907593,0.0790658711675173,0.143757487429338,0.215741972951466,0.199808933059008,0.148411375916939,0.145869426945625,0.0683515479288158,0.151556515264393,0.11642981625172,0.0954704108442786,0.0943463213458903,0.0997149418101411,0.130049324777643,0.118723221043582,0.100230002191557,0.0968688268006716,0.209644558767094,0.0927726008416149,0.108124281882121,0.181265031870623,0.0941003857921904,0.134948436635809,0.160020063979738,0.344083323234969,0.14941514441609,0.109280456113093,0.0918139727670002,0.21714822672182,0.148045087896048
"LA17_NA",0.283417849945848,0.228644425591874,0.27362085610725,0.0974367017271791,0.79297962947231,0.108933355456556,0.108896379502064,0.263044237259151,0.242806601347442,0.239024341544334,0.206796938519041,0.139729893767547,0.0806554254997947,0.362663682750728,0.349323428451456,0.0492600220588075,0.361657620993693,0.283946445099893,0.31283216410431,0.269685042814316,0.329461707888219,0.338201029027603,0.299116840645956,0.311995738732074,0.299815951855735,0.0924095684121562,0.287798604466021,0.0498666611018137,0.157061297500303,0.28223878343041,0.344912486112665,0.370027841695239,0.0781793871959656,0.355959413113261,0.255678849115245,0.284160487932808,0.108282354461576,0.298369609436986
"LA18_chartacea",0.228022836584878,0.144308396210761,0.109243994917358,0.181599852854678,0.108933355456556,0.867997246116498,0.390952404251913,0.115252039014883,0.193566686410093,0.19239148861282,0.310097433301906,0.18048456292024,0.562298116040889,0.149263386667905,0.140331897945823,0.0459142510963427,0.136627512383296,0.171704022970614,0.107930457443173,0.223879597807427,0.116066377383029,0.130016117268514,0.112918808026101,0.162966135454296,0.229446462972042,0.429304532101332,0.131284174238315,0.0650642495685061,0.545305945322372,0.212770954110411,0.141355045524323,0.153949135788375,0.195630879919863,0.146225354270011,0.122918184944602,0.157824750061569,0.600163748922074,0.124024679845782
"LA19_venusta",0.121112738678523,0.103534260307437,0.0785898689986047,0.188809365682832,0.108896379502064,0.390952404251913,0.873013417881677,0.0993434302156918,0.0934482949891328,0.104646664441249,0.219079732549206,0.178569712869898,0.348369151850201,0.157958882820017,0.133981382141569,0.0762256709188952,0.154997516786842,0.0995034646848188,0.0917941121215163,0.142584580059419,0.0908016273484538,0.146020925705775,0.125596445366638,0.109558714744552,0.134724340257563,0.372002197787039,0.114616669795419,0.113996526542477,0.397529424472059,0.109580024325694,0.162534824772163,0.151189614159069,0.211209007384251,0.144245875035772,0.0999100875252321,0.114385140483225,0.364465345595087,0.126102048824126
"LA2_heterophylla",0.254245233494014,0.468531836277455,0.398393536715499,0.105284866791631,0.263044237259151,0.115252039014883,0.0993434302156918,0.818768582849645,0.221725230150404,0.21566882660459,0.228075171145693,0.195619323136777,0.0781623331195764,0.287111049917859,0.344970307583008,0.233015297825775,0.360354666959712,0.619982779839091,0.430475285100574,0.319726041053732,0.451084185044879,0.364207905017108,0.293518352611217,0.274661499228172,0.257221197236117,0.100187730697217,0.239427223248531,0.0478811154836626,0.148372126590894,0.241314473316466,0.305893205585387,0.321479488663093,0.0848032570226055,0.353558440000027,0.731747725668936,0.250985940963609,0.11828331971291,0.292197468802744
"LA20a_nobilis",0.561314710553385,0.289494148765649,0.295971805671711,0.0813479975907593,0.242806601347442,0.193566686410093,0.0934482949891328,0.221725230150404,0.821436452154053,0.620710929281814,0.369577129133662,0.119098578762319,0.08715562487789,0.350622888561121,0.328017622702442,0.0318994954022059,0.333414336197369,0.322011729433268,0.282396162042993,0.56576019584657,0.299272750863441,0.299845056513892,0.276904994870331,0.37423838274373,0.590989907670059,0.112021426663269,0.257722217351599,0.0348595699357646,0.146774912214973,0.632770358758279,0.383546897575417,0.346543754896152,0.0707261324702871,0.346642078047305,0.230466429841428,0.359120312324148,0.0994163576583818,0.322086060068844
"LA20b_nobilis",0.580330843947267,0.256567692817582,0.273488979300947,0.0790658711675173,0.239024341544334,0.19239148861282,0.104646664441249,0.21566882660459,0.620710929281814,0.744124816509756,0.378887313304448,0.109419356089695,0.0765502495891614,0.343585755566996,0.317417209676928,0.036630463155998,0.347157214422497,0.287308540591182,0.25597316780859,0.568730977171112,0.262297609006194,0.325661155591894,0.305385436374594,0.383619678611115,0.618049266864754,0.122100182565234,0.301487914987141,0.0417645603739506,0.159044938068345,0.638272664631854,0.366691611687703,0.331936148832527,0.0729636638887868,0.336316360053422,0.203204196174443,0.416727391821433,0.0889229565348604,0.330169243419066
"LA22_bourgonii",0.416861083913382,0.269062259557698,0.199481232803769,0.143757487429338,0.206796938519041,0.310097433301906,0.219079732549206,0.228075171145693,0.369577129133662,0.378887313304448,0.789313309532999,0.161833424308522,0.179247832268534,0.273591423758292,0.254521151558439,0.0520649856159183,0.279051081248142,0.297043745775109,0.210432341074135,0.423859140666819,0.214264370115427,0.26960826166094,0.227953119289549,0.287748280850605,0.414216633765363,0.268851009693954,0.262326866814437,0.0633348845337184,0.285751803991094,0.404814934081248,0.268742164566743,0.27949021608273,0.133082210891542,0.277941087527832,0.23873055638587,0.289828486336425,0.202002664997327,0.239749898091165
"LA23_alata",0.146060976579475,0.155012356679574,0.181730829600977,0.215741972951466,0.139729893767547,0.18048456292024,0.178569712869898,0.195619323136777,0.119098578762319,0.109419356089695,0.161833424308522,0.830636250418436,0.165622754419844,0.197703727645007,0.218783592850809,0.059114418588743,0.214253142523778,0.19786843013927,0.199400604521026,0.1259809738834,0.215481312091514,0.181783656936033,0.156511636667201,0.149040751841593,0.140101476704586,0.166143744064268,0.117939992739955,0.105291152951324,0.188305578052049,0.120865805568104,0.188262662540337,0.226240525059621,0.196266106260384,0.209760358067904,0.212740323766038,0.121364989161771,0.214017492628784,0.178446429526183
"LA25_acreana",0.098662562357279,0.0911028762881779,0.0643426411730223,0.199808933059008,0.0806554254997947,0.562298116040889,0.348369151850201,0.0781623331195764,0.08715562487789,0.0765502495891614,0.179247832268534,0.165622754419844,0.825582279842672,0.12264131269744,0.101003752167412,0.0581209933045106,0.103959702863084,0.0915340046221948,0.0713056889465455,0.0996576901885092,0.0774731957176281,0.0960668983071008,0.0866362146221412,0.088185544036987,0.0975365685181795,0.399858927151139,0.0802326610580701,0.0953274194563043,0.448418778049579,0.08789658887099,0.108538677198401,0.119181284348379,0.221968005537058,0.111166780871168,0.0830731969951039,0.0795512596360068,0.57154414504289,0.0969765314773944
"LA26_setosa",0.427315548209354,0.277693040018661,0.351534338588823,0.148411375916939,0.362663682750728,0.149263386667905,0.157958882820017,0.287111049917859,0.350622888561121,0.343585755566996,0.273591423758292,0.197703727645007,0.12264131269744,0.838102920953441,0.55624642783869,0.0469127768302333,0.572599785921639,0.326906303884528,0.392078261617051,0.371647792149298,0.394781424285664,0.480584952069974,0.458494962194097,0.41215151889298,0.432863740546647,0.123582711606746,0.340206856041446,0.0581858949166573,0.213779783361529,0.369644671944498,0.60549361132646,0.65170332252618,0.114357984072536,0.573531843842436,0.288349683808679,0.353471220519158,0.169943271713808,0.541270169091669
"LA28_venusta",0.387860761332232,0.26880463605758,0.409181518030407,0.145869426945625,0.349323428451456,0.140331897945823,0.133981382141569,0.344970307583008,0.328017622702442,0.317417209676928,0.254521151558439,0.218783592850809,0.101003752167412,0.55624642783869,0.829100129896555,0.0441891344958213,0.639942146410964,0.356607026805489,0.420623989609406,0.342567927563612,0.44467934143001,0.512558426805663,0.472696725001428,0.374018084286988,0.404056126727942,0.104907305731423,0.306344442326396,0.0518202645359257,0.175220628814606,0.353740798092131,0.574794420880227,0.653014314543859,0.112131534860653,0.579014221782086,0.332359087944125,0.345162636853927,0.181771695471888,0.595413814538655
