cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
33	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1742.8	2086	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
34	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1832.83	528	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
35	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1875.84	55	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
36	saponins_merged_spectra_2017_09_22.mgf	0	0	0	916.408	2147	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
37	saponins_merged_spectra_2017_09_22.mgf	0	0	0	833.886	1204	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
38	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1904.85	2174	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
39	saponins_merged_spectra_2017_09_22.mgf	0	0	0	841.882	3286	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
40	saponins_merged_spectra_2017_09_22.mgf	0	0	0	863.896	2439	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
41	saponins_merged_spectra_2017_09_22.mgf	0	0	0	856.887	84	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
42	saponins_merged_spectra_2017_09_22.mgf	0	0	0	849.391	2998	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
43	saponins_merged_spectra_2017_09_22.mgf	0	0	0	870.897	915	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
44	saponins_merged_spectra_2017_09_22.mgf	0	0	0	827.888	3000	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
45	saponins_merged_spectra_2017_09_22.mgf	0	0	0	921.91	698	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
46	saponins_merged_spectra_2017_09_22.mgf	0	0	0	870.398	2293	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
47	saponins_merged_spectra_2017_09_22.mgf	0	0	0	952.419	599	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
48	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1920.84	2295	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
49	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1949.87	2296	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
50	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1540.73	2767	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
51	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1878.83	2661	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
52	saponins_merged_spectra_2017_09_22.mgf	0	0	0	864.396	5128	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
53	saponins_merged_spectra_2017_09_22.mgf	0	0	0	842.892	3551	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
54	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1832.83	1628	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
55	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1772.81	4598	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
56	saponins_merged_spectra_2017_09_22.mgf	0	0	0	869.898	4599	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
57	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1877.86	2595	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
58	saponins_merged_spectra_2017_09_22.mgf	0	0	0	849.883	3980	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
59	saponins_merged_spectra_2017_09_22.mgf	0	0	0	639.135	2216	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
60	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1816.83	516	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
61	saponins_merged_spectra_2017_09_22.mgf	0	0	0	900.904	1431	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
62	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1716.79	2270	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
63	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1893.85	1515	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
64	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1904.84	2814	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
65	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1935.85	2813	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
66	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1892.84	1933	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
67	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1878.83	242	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
68	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1863.85	259	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
69	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1859.84	3421	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
70	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1682.8	371	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
71	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1846.84	225	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
