cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
36	sap_spectra_2017_11_16.mgf	0	0	0	624.306	1067	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
37	sap_spectra_2017_11_16.mgf	0	0	0	1889.85	107	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
38	sap_spectra_2017_11_16.mgf	0	0	0	1193.54	1072	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
39	sap_spectra_2017_11_16.mgf	0	0	0	1152.01	1073	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
40	sap_spectra_2017_11_16.mgf	0	0	0	1049.96	1076	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
41	sap_spectra_2017_11_16.mgf	0	0	0	1263.62	1080	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
42	sap_spectra_2017_11_16.mgf	0	0	0	1352.64	1084	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
43	sap_spectra_2017_11_16.mgf	0	0	0	1833.84	1087	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
44	sap_spectra_2017_11_16.mgf	0	0	0	944.911	1090	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
45	sap_spectra_2017_11_16.mgf	0	0	0	1128.57	1092	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
46	sap_spectra_2017_11_16.mgf	0	0	0	1292.62	1093	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
47	sap_spectra_2017_11_16.mgf	0	0	0	1023.98	1096	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
48	sap_spectra_2017_11_16.mgf	0	0	0	911.499	1099	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
49	sap_spectra_2017_11_16.mgf	0	0	0	1772.86	11	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
50	sap_spectra_2017_11_16.mgf	0	0	0	1865.81	1102	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
51	sap_spectra_2017_11_16.mgf	0	0	0	1822.79	1103	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
