"","species_code","sample","phenSumTIC","sapSumTIC","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"1","COJR","COJR_2146",343.656651284258,234.402013409786,0.594501340908278,0.405498659091722,28.8,0,0,1,0.594501340908278,0.405498659091722
"2","COJR","COJR_2152",338.895446472449,232.719832524655,0.592873316939742,0.407126683060258,28.8,0,0,1,0.592873316939742,0.407126683060258
"3","COJR","COJR_2157",326.404510734217,230.903531190296,0.585680604225748,0.414319395774252,28.8,0,0,1,0.585680604225748,0.414319395774252
"4","COJR","COJR_2167",332.209802745836,231.220417490704,0.58962013540269,0.41037986459731,28.8,0,0,1,0.58962013540269,0.41037986459731
"5","COJR","COJR_2177",327.260398253518,228.991482313864,0.588331311203315,0.411668688796685,28.8,0,0,1,0.588331311203315,0.411668688796685
"6","IngA","IngA_1619",316.984758713245,21.698286685313,0.93593335426703,0.0640666457329705,25.54285714,0,0,1,0.93593335426703,0.0640666457329705
"7","IngA","IngA_1620",325.317769230387,21.0139596216428,0.939324185828146,0.0606758141718542,25.54285714,0,0,1,0.939324185828146,0.0606758141718542
"8","IngA","IngA_1677",310.096459724306,22.9311276492286,0.931143459224871,0.0688565407751291,25.54285714,0,0,1,0.931143459224871,0.0688565407751291
"9","IngA","IngA_1884",315.436468755726,24.1974890186841,0.928754211807182,0.071245788192818,25.54285714,0,0,1,0.928754211807182,0.071245788192818
"10","IngA","IngA_1885",315.319651753498,24.4562362034837,0.928022449295813,0.0719775507041867,25.54285714,0,0,1,0.928022449295813,0.0719775507041867
"11","IngC","IngC_1625",366.183921587558,15.8130383391173,0.958604282237867,0.0413957177621326,26.78,0,0,1,0.958604282237867,0.0413957177621326
"12","IngC","IngC_1626",354.289060922141,14.1839512296762,0.961506132710115,0.0384938672898848,26.78,0,0,1,0.961506132710115,0.0384938672898848
"13","IngC","IngC_1678",418.797973764234,19.1051626293013,0.956371258752228,0.043628741247772,26.78,0,0,1,0.956371258752228,0.043628741247772
"14","IngC","IngC_1679",441.088350869763,19.9773932981985,0.95667126965971,0.0433287303402896,26.78,0,0,1,0.95667126965971,0.0433287303402896
"15","IngC","IngC_1681",421.186888909515,19.9858929871066,0.954698263793187,0.045301736206813,26.78,0,0,1,0.954698263793187,0.045301736206813
"16","IngF","IngF_1594",554.48639664875,29.4797369718153,0.949518070869894,0.0504819291301058,36.8625,0.1146,0.237156604066429,0.762843395933571,0.724333589682683,0.0385098062508878
"17","IngF","IngF_1887",625.636587693374,32.2713088782196,0.950948591670069,0.0490514083299315,36.8625,0.1146,0.237156604066429,0.762843395933571,0.725424853027842,0.0374185429057292
