cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
13	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	305.066	174	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
14	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	564.33	1286	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
15	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	295.227	1215	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
16	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	761.135	265	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
17	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	293.211	855	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
18	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	463.086	116	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
19	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	387.164	652	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
20	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	341.09	1790	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
21	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	789.165	4779	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
22	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	476.277	2312	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
23	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	287.055	1540	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
