compound_sample,compound_number,TIC
IngU_1933,2128,38227.832550
IngU_1933,2135,42583.926910
IngU_1933,2183,60274.675049
IngU_1933,2192,33618.049164
IngU_1933,2211,13818.863159
IngU_1933,2235,5666.870300
IngU_1933,2247,39258.090027
IngU_1933,2320,42332.926575
IngU_1933,2324,680.930634
IngU_1933,2330,18306.244904
IngU_1933,2332,12256.577209
IngU_1933,2368,27930.342468
IngU_1933,2369,47029.756348
IngU_1933,2370,36382.595596
IngU_1933,2380,5764.340515
IngU_1933,2408,602.862366
IngU_1933,2438,8839.679810
IngU_1933,2446,9602.180664
IngU_1933,2463,10906.232483
IngU_1933,2480,41314.932800
IngU_1933,2492,5267.518250
IngU_1933,2495,8427.780762
IngU_1933,2517,290299.265198
IngU_1933,2530,50045.451050
IngU_1933,2560,7133.430481
IngU_1933,2566,56074.524170
IngU_1933,2571,5020.803223
IngU_1933,2596,6049.955811
IngU_1933,2626,2507.380310
IngU_1933,2649,26232.162140
IngU_1933,2668,43235.843750
IngU_1933,2681,110241.483154
IngU_1933,2688,14035.075500
IngU_1933,2703,1438.007385
IngU_1933,2721,2202.655212
IngU_1933,2746,30142.314209
IngU_1933,2783,375525.193970
IngU_1933,2793,37017.059189
IngU_1933,2795,9507.839508
IngU_1933,2803,7324.201843
IngU_1933,2806,98040.119263
IngU_1933,2823,3915.080505
IngU_1933,2864,2608.467041
IngU_1933,2873,89355.747498
IngU_1933,2921,382.291260
IngU_1933,2952,22440.106613
IngU_1933,3014,17169.428223
IngU_1933,3052,1240.427704
IngU_1933,3079,1922.316498
IngU_1933,3139,8937.571899
IngU_1933,3163,21287.039368
IngU_1933,3164,12731.943451
IngU_1933,3165,11826.399719
IngU_1933,3166,17941.583862
IngU_1933,3167,15649.345093
IngU_1933,3210,17673.167542
IngU_1933,3215,5227.043976
IngU_1933,3270,12955.365356
IngU_1933,3271,10267.538269
IngU_1933,3327,1688.433334
IngU_1933,3351,5775.289734
IngU_1933,3358,6934.044952
IngU_1933,3412,4051.440674
IngU_1933,3413,20849.748749
IngU_1933,3417,6531.536316
IngU_1933,3443,2581.848831
IngU_1933,3489,6325.502930
IngU_1933,3506,4512.674713
IngU_1933,3580,1302.010986
IngU_1933,3589,9826.693359
IngU_1933,3597,6019.380249
IngU_1933,3605,10982.132324
IngU_1933,3606,7998.191528
IngU_1933,3616,14757.281677
IngU_1933,3642,1863.222107
IngU_1933,3668,84430.513672
IngU_1933,3722,3610.443970
IngU_1933,3755,1226.106201
IngU_1933,3847,5221.327759
IngU_1933,3851,10542.492798
IngU_1933,3868,45450.543640
IngU_1933,3872,9874.449188
IngU_1933,3924,5256.451172
IngU_1933,3944,14839.717773
IngU_1933,3963,38330.712830
IngU_1933,3974,6178.092285
IngU_1933,4013,14620.895447
IngU_1933,4018,11961.466187
IngU_1933,4057,23734.471252
IngU_1933,4063,1469.277710
IngU_1933,4108,12078.423706
IngU_1933,4129,61356.982910
IngU_1933,4166,284317.210449
IngU_1933,4171,91809.163696
IngU_1933,4219,950.029724
IngU_1933,4252,679.952026
IngU_1933,4285,8424.708008
IngU_1933,4323,1611.960510
IngU_1933,4339,47506.696411
IngU_1933,4347,31286.274231
IngU_1933,4357,12941.631836
IngU_1933,4366,12473.805908
IngU_1933,4463,18198.639038
IngU_1933,4465,34791.782104
IngU_1933,4537,9436.612488
IngU_1933,4539,10941.867310
IngU_1933,4543,1031.363281
IngU_1933,4583,2824.544434
IngU_1933,4585,4021.113525
IngU_1933,4641,10578.350281
IngU_1933,4661,1416.984375
IngU_1933,4663,39509.633850
IngU_1933,4707,2999.757874
LA8_644_2,1,13764.755417
LA8_644_2,7,3771319.711624
LA8_644_2,9,2032898.301392
LA8_644_2,14,2015714.008987
LA8_644_2,49,419372.460266
LA8_644_2,67,1285175.399628
LA8_644_2,70,7743.072418
LA8_644_2,86,1713457.743011
LA8_644_2,87,25654.487045
LA8_644_2,93,4558.955444
LA8_644_2,110,200953.676605
LA8_644_2,115,201472.016632
LA8_644_2,142,156484.682098
LA8_644_2,162,76386.610870
LA8_644_2,167,11105.885864
LA8_644_2,175,18560.329651
LA8_644_2,177,7511.211243
LA8_644_2,188,34449.341400
LA8_644_2,193,9751.493195
LA8_644_2,200,17464.914520
LA8_644_2,204,478858.120865
LA8_644_2,211,171305.922806
LA8_644_2,237,361929.942139
LA8_644_2,241,69583.240891
LA8_644_2,256,116122.584930
LA8_644_2,258,722773.430023
LA8_644_2,259,53955.520660
LA8_644_2,262,270690.306595
LA8_644_2,264,854738.626404
LA8_644_2,269,369297.423065
LA8_644_2,297,390175.080765
LA8_644_2,308,216996.297592
LA8_644_2,314,396080.139420
LA8_644_2,318,130690.761963
LA8_644_2,325,4124.082458
LA8_644_2,330,55363.919373
LA8_644_2,339,185693.325699
LA8_644_2,354,352609.134460
LA8_644_2,380,335903.517593
LA8_644_2,387,56241.614609
LA8_644_2,389,53200.597412
LA8_644_2,400,86432.218933
LA8_644_2,421,409003.818451
LA8_644_2,422,344961.869720
LA8_644_2,424,40171.567780
LA8_644_2,446,1583.802780
LA8_644_2,449,11651.930481
LA8_644_2,450,24661.067657
LA8_644_2,465,288117.167770
LA8_644_2,472,91319.558716
LA8_644_2,474,8417.886963
LA8_644_2,482,1083945.840790
LA8_644_2,488,82840.913025
LA8_644_2,521,271914.277466
LA8_644_2,526,52663.817719
LA8_644_2,531,10780.585754
LA8_644_2,558,2993.034546
LA8_644_2,587,1040683.262024
LA8_644_2,623,344397.901199
LA8_644_2,637,4482.295288
LA8_644_2,644,47002.259796
LA8_644_2,655,22752.782318
LA8_644_2,656,41000.923004
LA8_644_2,662,2621.289307
LA8_644_2,669,4935.657715
LA8_644_2,681,19279.707489
LA8_644_2,691,2838.009521
LA8_644_2,694,16765.837814
LA8_644_2,699,137977.154175
LA8_644_2,703,10752.083435
LA8_644_2,723,124330.333557
LA8_644_2,727,42669.589111
LA8_644_2,741,21862.634338
LA8_644_2,770,26286.489960
LA8_644_2,772,25765.618195
LA8_644_2,790,18652.831848
LA8_644_2,810,4637.012680
LA8_644_2,822,4427.771545
LA8_644_2,835,43372.635986
LA8_644_2,862,10744.493835
LA8_644_2,875,101878.301300
LA8_644_2,884,15905.840149
LA8_644_2,918,17904.246429
LA8_644_2,932,3977.161926
LA8_644_2,944,55506.467285
LA8_644_2,958,2006.655884
LA8_644_2,963,280845.388809
LA8_644_2,974,12872.625092
LA8_644_2,978,54465.648895
LA8_644_2,985,119221.496277
LA8_644_2,992,17199.767151
LA8_644_2,1005,55083.142975
LA8_644_2,1010,96129.848816
LA8_644_2,1011,26663.808838
LA8_644_2,1027,32234.376404
LA8_644_2,1059,288083.146057
LA8_644_2,1060,22373.980530
LA8_644_2,1071,19369.254333
LA8_644_2,1077,49864.953674
LA8_644_2,1082,133118.213272
LA8_644_2,1083,4056.979218
LA8_644_2,1110,4923.059967
LA8_644_2,1115,109338.774841
LA8_644_2,1118,290722.897034
LA8_644_2,1129,2006.655884
LA8_644_2,1138,39426.778870
LA8_644_2,1178,24200.175232
LA8_644_2,1223,11728.608887
LA8_644_2,1237,14503.264282
LA8_644_2,1239,31513.708405
LA8_644_2,1243,16877.128891
LA8_644_2,1261,13530.056458
LA8_644_2,1271,7942.799011
LA8_644_2,1290,33665.063690
LA8_644_2,1292,18448.563202
LA8_644_2,1297,9967.501892
LA8_644_2,1303,40645.304596
LA8_644_2,1318,816.295349
LA8_644_2,1355,6589.019760
LA8_644_2,1365,99515.570190
LA8_644_2,1384,4951.168945
LA8_644_2,1390,25244.911133
LA8_644_2,1423,17104.802551
LA8_644_2,1435,8678.314011
LA8_644_2,1437,3819.417328
LA8_644_2,1439,1853.166077
LA8_644_2,1443,42339.163757
LA8_644_2,1445,4193.812378
LA8_644_2,1461,436.264526
LA8_644_2,1473,2954.328796
LA8_644_2,1503,4844.387817
LA8_644_2,1512,281.000000
LA8_644_2,1542,49199.817871
LA8_644_2,1551,16090.745972
LA8_644_2,1556,40913.789124
LA8_644_2,1560,16187.843231
LA8_644_2,1567,2422.687195
LA8_644_2,1578,10922.287079
LA8_644_2,1593,14056.020355
LA8_644_2,1603,21354.331390
LA8_644_2,1611,272000.138672
LA8_644_2,1619,16608.669556
LA8_644_2,1649,51324.783173
LA8_644_2,1666,3891.172699
LA8_644_2,1672,2547.938660
LA8_644_2,1716,12331.156921
LA8_644_2,1748,384.485962
LA8_644_2,1777,24014.457977
LA8_644_2,1840,10369.710632
LA8_644_2,1852,21715.927063
LA8_644_2,1865,9706.406372
LA8_644_2,1867,16231.896240
LA8_644_2,1875,11555.203217
LA8_644_2,1879,50327.413727
LA8_644_2,1914,4676.859497
LA8_644_2,1951,28724.709412
LA8_644_2,2000,2653.633545
LA8_644_2,2012,85398.832336
LA8_644_2,2015,3762.970032
LA8_644_2,2030,4116.345001
LA8_644_2,2051,4482.295288
LA8_644_2,2059,4007.179016
LA8_644_2,2098,22606.722137
LA8_644_2,2114,15553.064713
LA8_644_2,2128,69032.696899
LA8_644_2,2220,2426.939026
LA8_644_2,2224,2831.843445
LA8_644_2,2231,3797.848938
LA8_644_2,2232,2154.681015
LA8_644_2,2249,5618.938660
LA8_644_2,2261,8629.959183
LA8_644_2,2280,2585.505066
LA8_644_2,2289,20098.168671
LA8_644_2,2292,30193.959930
LA8_644_2,2293,34513.323364
LA8_644_2,2300,13858.391968
LA8_644_2,2325,6056.893250
LA8_644_2,2384,424401.072784
LA8_644_2,2388,20926.312073
LA8_644_2,2407,13651.250549
LA8_644_2,2410,230738.526855
LA8_644_2,2415,5181.389923
LA8_644_2,2438,1742.219788
LA8_644_2,2446,23905.061646
LA8_644_2,2448,1141.813293
LA8_644_2,2455,4463.438202
LA8_644_2,2474,7846.194275
LA8_644_2,2479,8287.825409
LA8_644_2,2490,349900.350037
LA8_644_2,2502,125068.775238
LA8_644_2,2559,12272.663483
LA8_644_2,2561,5654.904053
LA8_644_2,2599,4782.036987
LA8_644_2,2626,1004.540649
LA8_644_2,2663,8324.335083
LA8_644_2,2701,14604.274475
LA8_644_2,2721,859.183838
LA8_644_2,2728,1643.200684
LA8_644_2,2775,10618.147980
LA8_644_2,2781,1253.038788
LA8_644_2,2810,14647.376709
LA8_644_2,2816,15981.430817
LA8_644_2,2850,1728.937622
LA8_644_2,2858,17593.770416
LA8_644_2,2863,4744.025635
LA8_644_2,2864,6367.864014
LA8_644_2,2889,6068.264587
LA8_644_2,2931,28887.515015
LA8_644_2,2960,3667.436554
LA8_644_2,3011,6839.369507
LA8_644_2,3014,3413.160400
LA8_644_2,3030,1642.930054
LA8_644_2,3043,4753.648071
LA8_644_2,3084,1759.593750
LA8_644_2,3110,4040.223465
LA8_644_2,3154,4581.175354
LA8_644_2,3266,2179.672089
LA8_644_2,3271,8434.733765
LA8_644_2,3310,5412.362549
LA8_644_2,3342,9082.086624
LA8_644_2,3352,36798.322632
LA8_644_2,3388,23688.767822
LA8_644_2,3404,2900.363037
LA8_644_2,3453,1522.467407
LA8_644_2,3550,6579.693771
LA8_644_2,3561,2232.796509
LA8_644_2,3563,2439.742111
LA8_644_2,3580,2181.612946
LA8_644_2,3585,11694.647522
LA8_644_2,3589,8375.752213
LA8_644_2,3610,3713.369446
LA8_644_2,3612,22060.751648
LA8_644_2,3615,251589.725098
LA8_644_2,3639,21303.477966
LA8_644_2,3655,16147.130371
LA8_644_2,3662,2560.857483
LA8_644_2,3707,1340.645538
LA8_644_2,3755,3853.862885
LA8_644_2,3780,4183.797104
LA8_644_2,3786,6579.693771
LA8_644_2,3797,4712.970612
LA8_644_2,3826,5973.213867
LA8_644_2,3831,1760.026428
LA8_644_2,3836,9898.684570
LA8_644_2,3854,2267.539185
LA8_644_2,3858,1437.241943
LA8_644_2,3869,8020.481171
LA8_644_2,3901,9898.374512
LA8_644_2,3905,9059.233719
LA8_644_2,3910,127091.321777
LA8_644_2,3922,35840.755493
LA8_644_2,3927,3034.213806
