feature_number,rt,mz
257,8.175221,912.152331
258,9.276675,913.143328
259,9.212422,914.147150
260,8.009123,1065.188834
261,8.174909,1066.193543
262,3.654485,120.045918
263,15.253525,139.112012
264,15.262233,183.102167
265,24.625450,195.085250
266,17.956650,197.117849
267,13.477415,201.109215
268,5.352378,207.079533
269,5.802900,209.029764
270,19.921779,211.133365
271,17.657650,215.128287
272,20.602250,215.165450
273,29.306950,221.154433
274,15.248633,223.094667
275,22.106154,225.149277
276,16.528557,227.128386
277,19.879611,229.144015
278,22.805040,229.181120
279,17.558600,237.110400
280,24.107876,239.164818
281,19.235763,241.144150
282,22.104888,243.159618
283,24.800450,243.195960
284,19.891021,251.126015
285,25.789647,253.180502
286,21.667461,255.159742
287,26.773967,255.196367
288,24.108757,257.175257
289,26.522663,257.211718
290,26.769196,265.145454
291,27.333408,267.196083
292,23.846611,269.175137
293,28.408675,269.212200
294,25.789202,271.190889
295,28.132317,271.227020
296,25.811556,272.194467
297,28.910517,277.216658
298,27.294976,279.159619
299,28.927587,281.211679
300,25.644106,283.190616
301,5.823549,285.060549
302,27.333021,285.206535
303,29.639201,285.242535
304,27.393558,286.210000
305,25.791825,293.172493
306,27.264336,297.206292
307,13.861381,299.055345
308,28.834752,299.221894
309,31.404803,299.258333
310,28.924164,300.225214
311,27.203888,307.188342
312,28.102353,311.221514
313,30.079547,313.237413
314,28.958367,321.203858
315,30.233974,325.237114
316,31.485593,327.253007
317,30.581382,335.219327
318,31.493613,339.252995
319,14.881603,341.138434
320,26.845330,341.232020
321,27.016649,397.133444
322,7.228888,437.139585
323,11.331249,449.106780
324,9.243598,453.045109
325,12.319520,505.206622
326,13.707767,507.222523
327,28.754250,513.306300
328,12.903000,554.261700
329,28.879720,559.311840
330,29.606002,577.267871
331,27.050200,676.361755
332,9.716658,684.103136
333,7.868812,684.120754
334,27.070885,721.364136
335,8.450928,836.632839
336,9.410920,912.135636
337,8.819632,915.155301
338,7.150095,119.049528
339,4.607443,123.007944
340,10.618246,151.002988
341,8.164694,170.017132
342,3.460223,180.065835
343,3.491235,181.069155
344,5.710763,191.055595
345,5.536914,196.060657
346,7.356572,203.082106
347,6.190112,206.045863
348,1.694587,223.941100
349,9.902086,241.034893
350,4.301556,243.050611
351,30.122250,255.231100
352,2.534008,271.044986
353,8.216557,273.002823
354,16.324770,276.155688
355,1.244038,280.998115
356,6.778719,286.070716
357,8.597848,288.086997
358,7.595008,298.981965
359,6.610351,299.989185
360,10.288416,300.997698
361,9.299528,316.991846
362,5.895688,317.044483
363,10.327764,318.033820
364,10.256653,319.044710
365,9.661141,321.023990
366,7.309398,330.061914
367,3.375590,331.065588
368,7.053380,332.074641
369,8.674722,333.079355
370,7.790779,334.081512
371,3.010937,341.050058
372,7.129540,343.065591
373,6.228062,348.070800
374,7.957370,354.057175
375,6.042925,355.064061
376,4.550083,365.047544
377,1.234836,383.120545
378,1.263232,384.123946
379,6.563252,385.995023
380,1.696540,391.945318
381,3.230677,405.102165
382,25.990314,411.106131
383,13.720100,413.143233
384,1.241117,416.065600
385,7.347873,426.088684
386,8.936817,438.080768
387,10.729228,449.071417
388,30.182100,453.280120
389,6.561227,454.076617
390,8.876943,459.082309
391,27.649103,474.261491
392,29.083533,477.280400
393,10.889648,478.106124
394,7.086586,481.060729
395,8.223100,482.068025
396,7.556239,483.076831
397,14.532596,483.186216
398,8.471931,484.083225
399,9.421472,485.087736
400,9.703349,486.092393
401,10.802800,487.092817
402,7.400413,491.139573
403,7.734997,495.076718
404,7.697521,496.080102
405,6.565919,498.066565
406,9.186683,500.082914
407,27.743120,503.295180
408,7.252820,505.058260
409,9.285058,506.067732
410,10.599884,518.091614
411,7.118175,535.987650
412,8.815723,536.998316
413,8.612179,538.005109
414,30.271260,541.333874
415,8.892958,580.155673
416,13.466342,595.131910
417,4.254733,596.132133
418,13.357743,599.103673
419,11.354508,609.087485
420,13.059983,611.065422
421,12.317882,613.081797
422,12.115128,614.086291
423,12.545015,616.101574
424,12.225653,617.108525
425,12.977986,618.107307
426,12.409339,629.113991
427,10.027784,634.080640
428,9.391420,635.087715
429,9.875199,636.093694
430,12.176739,637.080297
431,9.758831,637.097452
432,11.098145,638.084492
433,10.733817,638.104400
434,9.033120,650.077460
435,10.924800,652.093712
436,10.280083,658.079123
437,6.552954,665.161825
438,6.552683,666.164904
439,6.472296,667.167736
440,10.748800,670.104357
441,7.215811,679.138848
442,5.236384,687.142443
443,10.744028,689.010326
444,10.730800,690.013500
445,13.370167,699.047433
446,6.554027,718.073323
447,6.550723,719.078144
448,6.526000,720.079300
449,14.894205,767.109719
450,11.256340,788.105610
451,21.939424,821.396128
452,22.533276,822.400682
453,8.166062,967.161462
454,9.027929,969.181148
455,9.023992,970.184254
456,9.014112,971.187865
457,9.002850,972.186000
458,7.928287,991.159926
459,9.007596,1003.184230
460,9.023486,1022.091933
461,9.006821,1023.096239
462,9.002333,1024.097833
463,8.437321,1064.169521
464,10.750767,1273.205233
465,10.738800,1274.207500
466,11.791325,1454.276975
467,11.789975,1455.278825
468,8.988800,1697.319300
469,8.985300,1697.822600
470,8.988800,1940.361300
471,7.481189,201.054826
472,7.638929,203.070588
473,7.823775,205.050012
474,7.356992,221.081604
475,8.167448,223.045140
476,10.778684,245.092719
477,7.625491,246.084640
478,10.376435,246.096214
479,10.767468,267.074506
480,10.569231,288.058426
481,7.027400,289.107300
482,9.225334,290.074019
483,8.344936,291.076165
484,10.937553,299.018686
485,12.104919,300.026372
486,11.845213,302.039293
487,8.268093,311.052747
488,7.822177,335.076135
489,7.567559,352.067159
490,7.643483,357.057398
491,7.527311,373.022528
492,8.183725,407.075665
493,6.892912,408.078838
494,11.737792,419.097357
495,6.750400,427.091800
496,11.936225,431.060750
497,12.124000,432.066300
498,11.731916,433.076389
499,11.613624,434.080094
500,12.110800,435.082050
501,10.516747,436.095894
502,12.236573,445.076768
503,12.490325,446.081379
504,12.264318,448.095809
505,12.470381,449.091450
506,10.635930,451.105368
507,11.033850,452.108338
508,12.472409,546.009815
509,11.667213,561.139321
510,6.556860,573.103360
511,9.906996,575.118551
512,9.764864,576.123524
513,9.350920,576.627400
514,9.304290,577.133990
515,9.200546,578.137739
516,10.508276,579.144210
517,15.655408,579.149970
518,12.214742,580.137163
519,14.980613,581.163979
520,7.965811,599.115905
521,7.846157,600.119133
522,15.337560,601.131220
523,7.489432,632.061558
524,8.321770,633.070125
525,9.300729,644.133557
526,9.404233,644.635833
527,7.477299,661.084701
528,7.112639,676.051143
529,7.603967,677.057300
530,9.266248,720.157200
531,9.394512,720.659253
532,10.512310,721.159660
533,10.439215,729.145413
534,10.193546,730.148621
535,13.873267,753.181867
536,8.530997,863.180701
537,9.524775,864.186247
538,9.833376,864.688948
539,8.449009,865.196117
540,9.872525,865.691575
541,8.312403,866.199920
542,8.948315,867.203942
543,9.971297,868.206678
544,14.128526,869.228279
545,8.064896,887.178400
546,10.166070,1008.216700
547,10.141773,1008.718973
548,9.946800,1009.220460
549,10.220160,1152.248560
550,10.009983,1152.750383
551,8.857059,1153.259111
552,8.795652,1154.263208
553,8.331689,1155.271156
554,8.091350,1156.280588
555,14.065787,1157.290740
556,7.909022,261.087744
557,10.957706,345.154424
558,11.161191,467.096873
559,10.057863,591.113052
560,30.708940,595.288473
561,27.574100,617.403950
562,19.244600,675.321900
563,19.246300,675.824900
564,7.914852,684.622182
565,24.366069,749.448238
566,24.392220,750.451420
567,11.498955,755.160981
568,8.211734,760.628173
569,23.334490,779.458680
570,7.072759,784.120033
571,25.922250,790.975150
572,25.922250,792.480350
573,21.781290,795.452011
574,20.110818,796.456393
575,21.712500,807.972200
576,20.501063,809.488166
577,17.927800,822.369500
578,17.929700,822.871100
579,17.929700,823.371900
580,23.166800,825.465159
581,23.248454,826.465846
582,17.740175,834.887950
583,19.205350,835.389175
584,25.914000,835.980400
585,19.588479,839.478821
586,21.708700,840.461000
587,21.705000,840.962200
588,17.290831,842.887710
589,18.230350,843.374200
590,15.970524,843.879647
591,17.931400,845.370400
592,17.931500,845.873600
593,21.624730,852.469478
594,23.066267,853.471433
595,19.102360,855.895180
596,18.805175,856.397050
597,19.262100,859.468750
598,20.734800,869.463287
599,25.898500,881.488833
600,25.901300,882.493000
601,19.264900,895.388633
602,20.872700,895.399167
603,18.803733,895.886267
604,21.268750,895.901850
605,18.716850,896.389150
606,16.190300,903.394400
607,20.983650,903.901000
608,19.625000,905.420500
609,21.675280,911.498164
610,21.762976,911.997541
611,21.762668,912.501603
612,21.288300,913.001833
613,21.761462,913.503450
614,20.024871,916.406697
615,19.491617,916.908917
616,16.726500,917.407000
617,25.543325,923.016125
618,19.618833,925.533123
619,20.591629,927.494300
620,20.536723,957.500435
621,20.395934,958.504092
622,19.734938,959.512153
623,19.509475,971.538648
624,21.826444,973.502739
625,21.209300,974.493997
626,23.794825,979.484400
627,22.476567,980.485067
628,17.948928,986.529339
629,25.543850,991.505150
630,21.305425,1007.498825
631,24.848500,1029.563000
632,24.659650,1036.506075
633,25.039450,1040.447267
634,24.503800,1044.041950
635,24.124025,1044.544450
636,24.504050,1045.045250
637,24.502900,1045.547700
638,24.504250,1046.550050
639,22.026267,1054.529000
640,24.498350,1055.031200
641,18.544620,1059.536060
642,18.894700,1060.538725
643,20.622450,1061.543800
644,22.393675,1089.544825
645,24.250133,1090.549000
646,24.494500,1091.554350
647,22.289233,1105.540800
648,23.207467,1106.539467
649,24.871900,1111.532067
650,24.871633,1112.533833
651,24.511350,1157.537500
652,24.510300,1158.539100
653,25.928300,1186.214500
654,25.928200,1186.717100
655,15.292578,1187.225989
656,25.930000,1187.718800
657,23.170550,1197.707500
658,21.708800,1210.207000
659,21.710700,1210.707200
660,21.708800,1211.209800
661,21.705000,1211.707200
662,21.705000,1221.698000
663,23.348850,1367.753250
664,21.287100,1368.253700
665,21.287600,1368.754000
666,23.346950,1369.257700
667,23.347100,1369.759650
668,25.543925,1384.277450
669,25.543475,1384.779325
670,25.543475,1385.280350
671,25.543475,1385.781600
672,25.544100,1386.283000
673,25.547167,1395.270400
674,25.550733,1395.770600
675,25.547133,1396.273300
676,19.566595,1524.726568
677,18.545686,1525.729464
678,24.504550,1565.816900
679,24.505800,1566.318850
680,19.232014,1566.736929
681,24.505800,1566.820800
682,24.505800,1567.322000
683,19.228286,1567.739514
684,24.504550,1567.823250
685,24.503900,1568.325800
686,24.495750,1577.311250
687,22.436025,1581.958650
688,25.931800,1582.461400
689,25.928300,1582.963800
690,25.928200,1583.966700
691,18.585567,1613.948600
692,21.708900,1614.949200
693,18.675000,1645.747350
694,18.675850,1646.751450
695,23.348750,1824.005950
696,23.348750,1824.506750
697,23.348750,1825.009150
698,23.348900,1825.508550
699,23.349750,1826.010000
700,25.544150,1846.037675
701,25.544150,1846.535925
702,25.544100,1847.040725
703,25.544275,1847.538875
704,25.544225,1848.043725
705,25.551333,1849.048867
706,7.917966,221.011910
707,10.138120,307.084655
708,11.763279,329.139179
709,14.920000,342.141200
710,9.018558,363.073967
711,10.959705,364.071541
712,10.142279,393.046985
713,11.796771,411.131726
714,10.904884,441.126953
715,11.387072,450.110686
716,12.093411,491.118042
717,8.859045,541.028979
718,12.793290,593.092478
719,9.295137,608.098057
720,13.535451,907.170091
721,8.365769,912.653123
722,8.534144,1064.174022
723,8.484024,1064.668879
724,18.254554,283.024052
725,10.736466,380.062854
726,21.087389,431.228478
727,10.725810,450.075108
728,10.404278,456.066753
729,11.978659,491.191330
730,13.642046,508.225800
731,8.271678,532.594856
732,8.882231,555.993779
733,15.006247,595.105100
734,12.038700,599.065720
735,11.933617,601.082532
736,11.851410,602.085921
737,13.583917,625.118531
738,9.375400,631.093700
739,8.855363,745.140045
740,11.346470,756.164477
741,7.192252,757.104237
742,6.959771,815.050586
743,8.891611,916.162418
744,11.955050,1059.217384
745,11.904938,1060.220432
746,8.178607,1067.198473
747,1.763825,115.002679
748,10.385300,133.013540
749,3.316857,137.008179
750,1.412091,147.028926
751,12.117221,147.044357
752,10.544619,193.049927
753,1.411115,244.974705
754,10.564257,279.051243
755,14.887274,315.049579
756,24.299500,317.078600
757,10.335800,319.013600
758,1.407844,333.012600
759,1.406301,347.976828
760,9.139268,457.133923
761,24.265625,463.103800
762,18.275562,623.138838
763,19.144475,624.142825
764,15.791156,639.134089
765,18.651200,819.886200
766,18.650200,820.388250
767,18.924200,820.891400
768,17.078700,827.888000
769,17.078700,828.389000
770,19.047060,833.883060
771,18.933217,834.384250
772,17.938000,835.881714
773,21.488900,835.897250
774,19.195725,840.892575
775,19.194150,841.394150
776,18.277580,841.885420
777,19.354500,841.897150
778,17.777967,842.385133
779,16.564400,842.891900
780,18.652300,843.390100
781,18.268475,848.889225
782,18.264975,849.390750
783,18.498367,849.889367
784,18.092700,850.392600
785,19.363467,850.889217
786,19.377800,851.390839
787,17.878658,856.887617
788,21.405200,856.900633
789,17.716323,857.388715
790,17.907489,857.891567
791,18.198633,858.392467
792,21.295600,861.897867
793,20.485600,862.399425
794,20.301900,862.899967
795,18.719437,863.895350
796,18.712025,864.397025
797,18.603580,864.894360
798,22.839767,865.896667
799,22.839200,866.398200
800,20.162167,869.895700
801,19.682350,870.395950
802,18.841800,870.896600
803,18.838300,871.401200
804,20.362600,871.893960
805,20.362460,872.395420
806,21.609567,872.897833
807,21.772700,876.901100
808,20.515233,877.401700
809,20.639915,877.894531
810,20.243300,878.394100
811,22.004075,878.405950
812,20.377220,878.895060
813,21.326671,879.397600
814,18.867384,879.905347
815,20.776800,884.900525
816,20.690433,885.400900
817,20.371717,885.900033
818,21.987722,899.408072
819,21.376750,899.907183
820,22.698733,900.409300
821,20.714033,900.902267
822,20.595310,901.403550
823,20.231350,907.909300
824,19.892100,908.413850
825,19.733145,908.899864
826,20.203328,909.403217
827,21.472200,913.909500
828,21.470375,914.411400
829,20.456104,915.904842
830,21.665938,921.907462
831,21.664963,922.408937
832,21.509020,922.909400
833,21.721415,923.418615
834,19.853444,923.904864
835,19.795922,924.405945
836,18.580217,924.906817
837,21.013520,928.914940
838,21.001420,929.416140
839,20.306950,930.911212
840,20.170929,931.414014
841,19.938214,931.916643
842,21.763140,936.912680
843,21.872167,937.413867
844,21.269575,937.913575
845,19.024350,938.908490
846,23.432400,943.916650
847,21.348929,944.909571
848,21.166013,945.412750
849,21.150333,945.915517
850,20.659550,946.421550
851,22.389933,951.917844
852,22.093429,952.419014
853,20.746129,952.918029
854,21.426180,959.914790
855,24.491567,1536.736900
856,23.595350,1537.739300
857,19.212400,1540.731950
858,18.314767,1541.733733
859,19.865100,1582.744200
860,19.864633,1583.749267
861,19.865933,1584.749400
862,23.166050,1612.760550
863,20.269800,1613.767000
864,18.570133,1640.784700
865,22.753300,1641.772000
866,18.568133,1641.786400
867,22.613200,1642.798233
868,18.199800,1656.786100
869,18.199800,1657.788500
870,21.815500,1658.791300
871,18.520525,1668.782375
872,18.518550,1669.784275
873,18.942200,1670.795600
874,22.696700,1671.787200
875,21.146250,1671.806000
876,19.169820,1682.797440
877,19.169380,1683.800840
878,19.166280,1684.804560
879,21.342850,1686.776200
880,19.793300,1686.792025
881,19.427000,1687.788000
882,18.925900,1687.801200
883,19.642200,1697.800700
884,19.638500,1698.300600
885,23.274467,1698.788100
886,19.638500,1698.802900
887,19.642200,1699.303100
888,23.275767,1699.791667
889,22.567933,1700.793700
890,23.347300,1701.795000
891,21.565400,1702.790650
892,23.343800,1702.796500
893,21.866550,1712.806100
894,19.627800,1713.304600
895,21.870050,1713.808050
896,22.306550,1714.305500
897,20.268314,1714.781214
898,18.992300,1714.796000
899,19.547300,1714.811800
900,19.994929,1715.789157
901,19.631300,1715.815700
902,21.158600,1716.787067
903,19.710450,1716.804100
904,21.038106,1717.786975
905,20.580600,1717.808800
906,23.843233,1718.787333
907,20.136633,1728.803033
908,20.136267,1729.806100
909,20.352240,1730.807340
910,22.014750,1732.800450
911,22.014950,1733.805500
912,23.986300,1742.795800
913,18.845500,1742.818100
914,24.461950,1743.801700
915,18.845500,1743.820900
916,22.247926,1744.800471
917,21.556100,1745.800986
918,21.957133,1746.787667
919,22.337150,1747.793900
920,22.814250,1754.811900
921,21.784200,1755.818100
922,21.768329,1756.808814
923,21.046250,1756.825800
924,21.592880,1757.812420
925,23.169150,1758.784925
926,22.181514,1758.812671
927,23.402633,1759.788767
928,21.717300,1759.812067
929,21.072067,1760.814833
930,19.624200,1761.826000
931,22.307500,1770.831550
932,21.785567,1771.829600
933,21.282200,1772.805043
934,22.554833,1772.837533
935,21.091693,1773.807468
936,20.597575,1774.810950
937,23.332225,1786.327375
938,22.556114,1786.817029
939,20.983350,1786.831325
940,22.313171,1787.817300
941,21.185617,1788.821333
942,18.845500,1789.827300
943,21.873100,1794.323700
944,21.803973,1798.822949
945,21.370319,1799.825359
946,21.940080,1800.824600
947,20.670813,1800.835063
948,21.910600,1801.330367
949,21.889050,1801.827300
950,22.080000,1801.838800
951,21.597000,1802.326850
952,22.061800,1802.335900
953,21.014295,1802.815914
954,22.062000,1802.839600
955,21.641000,1803.325200
956,21.100508,1803.819092
957,20.818800,1804.820783
958,21.554033,1809.330567
959,21.467267,1809.833300
960,21.598200,1810.329200
961,22.415825,1813.833600
962,22.081900,1815.831750
963,22.061800,1816.336000
964,21.348256,1816.831444
965,21.601500,1817.331200
966,21.397227,1817.833882
967,21.594500,1818.331600
968,21.612589,1818.820383
969,21.404338,1818.836363
970,20.482825,1819.811809
971,21.713917,1819.837583
972,20.981800,1820.818918
973,22.313300,1821.333233
974,22.145933,1821.836867
975,22.408950,1822.333750
976,22.002683,1828.835360
977,22.415825,1829.336100
978,21.975217,1829.831967
979,22.239900,1830.333000
980,22.063700,1830.830067
981,21.895133,1830.843900
982,21.511700,1831.846150
983,21.555200,1832.332900
984,20.773052,1832.825645
985,20.757126,1833.827099
986,20.698442,1834.830653
987,21.401500,1834.846100
988,20.875814,1835.832000
989,22.331633,1836.334867
990,22.662940,1836.838900
991,22.136200,1837.337125
992,22.538160,1837.839500
993,23.845333,1842.845233
994,22.405500,1843.342700
995,22.407250,1843.844300
996,22.406400,1844.341750
997,21.577775,1844.823962
998,22.431700,1844.842000
999,21.576688,1845.828650
1000,22.161750,1845.844500
1001,21.873320,1846.834790
1002,21.607317,1847.841700
1003,21.159471,1848.822457
1004,21.686580,1848.844660
1005,20.379380,1849.822540
1006,21.822550,1849.844450
1007,20.009267,1850.824300
1008,22.069000,1850.854300
1009,22.387750,1851.344550
1010,22.629800,1851.850400
1011,22.626200,1852.346200
1012,21.929300,1858.838992
1013,21.998660,1859.337800
1014,21.909669,1859.841985
1015,22.034950,1860.339600
1016,21.991304,1860.844926
1017,22.166417,1861.844633
1018,21.108383,1862.833883
1019,21.006791,1863.837774
1020,21.015171,1864.838986
1021,21.093667,1865.843233
1022,21.745033,1866.842433
1023,22.021150,1872.855650
1024,22.223733,1873.859667
1025,21.670569,1874.835444
1026,21.865767,1874.854667
1027,21.689238,1875.838685
1028,21.347456,1876.841108
1029,21.780815,1876.847742
1030,21.009000,1876.856500
1031,21.544995,1877.848880
1032,21.171450,1877.857383
1033,20.603362,1878.826837
1034,21.328700,1878.854967
1035,20.482825,1879.830762
1036,21.497400,1879.860500
1037,22.511587,1888.849512
1038,22.186625,1889.853037
1039,21.888800,1890.832650
1040,21.905800,1890.854050
1041,21.723167,1891.826967
1042,21.025100,1891.846100
1043,22.274875,1891.857875
1044,20.903040,1892.841440
1045,22.407900,1892.856350
1046,20.564550,1893.846725
1047,21.358325,1894.851075
1048,21.542350,1895.851150
1049,21.960592,1904.843823
1050,21.883664,1905.848129
1051,21.178529,1906.847886
1052,21.150120,1907.850220
1053,22.144670,1918.855718
1054,22.627167,1918.866400
1055,21.872243,1919.861243
1056,20.792740,1920.841340
1057,21.920167,1920.864733
1058,21.967580,1921.867140
1059,20.557267,1922.847333
1060,20.784550,1923.859300
1061,22.206275,1934.853050
1062,22.233000,1935.854386
1063,22.211000,1935.865400
1064,21.226867,1936.853767
1065,21.901300,1948.866700
1066,21.905500,1949.871300
1067,22.792380,1965.865820
1068,13.361406,273.075988
1069,12.174948,286.043449
1070,11.994889,433.112753
1071,10.536635,437.097400
1072,11.447534,471.089756
1073,12.384600,506.210600
1074,11.487787,548.024949
1075,12.276799,899.221975
1076,6.302580,161.045720
1077,12.600888,271.060474
1078,8.709300,358.061400
1079,12.339372,417.081199
1080,12.881494,418.085233
1081,12.442034,431.097274
1082,12.409418,432.100445
1083,13.746521,435.109702
1084,11.615753,435.125942
1085,15.064250,445.113000
1086,14.771994,461.107661
1087,14.986033,462.110767
1088,9.749150,500.100900
1089,12.494163,559.123576
1090,10.228509,562.142635
1091,10.953967,563.140254
1092,13.230588,568.133779
1093,12.913002,577.155604
1094,10.368077,578.155456
1095,9.816364,583.121061
1096,9.446736,584.124609
1097,18.463900,591.171500
1098,10.424681,593.150574
1099,10.125108,594.153135
1100,10.407167,712.160500
1101,10.539600,712.662150
1102,9.888186,731.151062
1103,11.680543,833.206400
1104,11.944260,834.209573
1105,10.068900,847.186500
1106,9.696940,849.201981
1107,9.857844,850.205490
1108,11.805700,851.211000
1109,10.930800,856.191300
1110,10.927200,856.692500
1111,15.186311,870.232913
1112,10.382480,871.190090
1113,10.410060,872.193480
1114,8.517100,888.181380
1115,10.298758,891.199877
1116,11.107000,1121.269300
1117,10.379783,1137.262900
1118,10.466950,1138.264550
1119,6.735233,165.055000
1120,6.854697,166.998014
1121,11.158011,177.055456
1122,10.760864,193.013979
1123,24.540503,194.081465
1124,7.374700,239.055125
