compound_sample,compound_number,TIC
DN1306_polar,5,6524621.539900
DN1306_polar,18,12500.968000
DN1306_polar,20,2077528.275500
DN1306_polar,22,1359999.939500
DN1306_polar,30,1966.207000
DN1306_polar,46,390724.219300
DN1306_polar,67,271052.427000
DN1306_polar,72,7202.518100
DN1306_polar,74,17701.149800
DN1306_polar,78,62503.810600
DN1306_polar,90,107180.906400
DN1306_polar,101,153562.824200
DN1306_polar,102,34597.264900
DN1306_polar,121,129563.441900
DN1306_polar,138,271018.871700
DN1306_polar,154,137189.582700
DN1306_polar,181,656691.592800
DN1306_polar,201,258366.443700
DN1306_polar,204,21048.369200
DN1306_polar,207,60249.940500
DN1306_polar,216,762419.979200
DN1306_polar,218,20706.082800
DN1306_polar,219,143635.405500
DN1306_polar,222,46009.886900
DN1306_polar,227,22211.488400
DN1306_polar,232,12534.523300
DN1306_polar,236,685208.927100
DN1306_polar,258,20091.099200
DN1306_polar,335,55054.808000
DN1306_polar,339,29717.586300
DN1306_polar,343,122819.879300
DN1306_polar,356,30225.774200
DN1306_polar,402,19896.568400
DN1306_polar,412,5412.036600
DN1306_polar,431,8282.916300
DN1306_polar,438,7001.752400
DN1306_polar,452,68907.428800
DN1306_polar,453,20864.395500
DN1306_polar,471,41173.137700
DN1306_polar,473,19604.931100
DN1306_polar,475,10675.762800
DN1306_polar,538,9524.790700
DN1306_polar,548,214.790600
DN1306_polar,553,13207.714900
DN1306_polar,639,9244.301800
DN1306_polar,661,10376.917100
DN1306_polar,695,17701.149800
DN1306_polar,710,488.162200
DN1306_polar,729,41621.151200
DN1306_polar,735,123773.174300
DN1306_polar,766,23512.429600
DN1306_polar,812,5281.135900
DN1306_polar,917,11044.873300
DN1306_polar,991,540998.084100
DN1306_polar,1003,3935.725400
DN1306_polar,1047,2656.477200
DN1306_polar,1200,7027.214000
DN1306_polar,1211,9734.453600
DN1306_polar,1256,24801.378500
DN1306_polar,1326,71.468600
DN1306_polar,1337,3600.726700
DN1306_polar,1343,33.555300
DN1306_polar,1393,24667.408100
DN1306_polar,1436,6394.893100
DN1306_polar,1455,5718.247100
DN1306_polar,1479,9172.071300
DN1306_polar,1527,3528.642000
DN1306_polar,1580,7098.906300
DN1306_polar,1606,25598.595500
DN1306_polar,1675,10347.044900
DN1306_polar,1766,3942.607600
DN1635_polar,4,1179705.147100
DN1635_polar,5,26901.598800
DN1635_polar,11,757147.387600
DN1635_polar,17,0.000000
DN1635_polar,20,3936114.021400
DN1635_polar,22,129227.107400
DN1635_polar,33,0.000000
DN1635_polar,41,0.000000
DN1635_polar,51,540513.254600
DN1635_polar,57,4459718.140400
DN1635_polar,67,27149.828200
DN1635_polar,74,42444.208700
DN1635_polar,77,0.000000
DN1635_polar,82,119360.433500
DN1635_polar,100,27149.828200
DN1635_polar,101,161818.480700
DN1635_polar,111,0.000000
DN1635_polar,121,127202.293900
DN1635_polar,133,0.000000
DN1635_polar,154,127202.293900
DN1635_polar,163,0.000000
DN1635_polar,167,37644.594500
DN1635_polar,181,728339.238900
DN1635_polar,195,131398.963800
DN1635_polar,201,306246.605600
DN1635_polar,204,46650.356800
DN1635_polar,207,27801.574300
DN1635_polar,211,24141.527100
DN1635_polar,216,554153.131500
DN1635_polar,219,87662.001400
DN1635_polar,222,15517.870800
DN1635_polar,227,0.000000
DN1635_polar,236,795089.484000
DN1635_polar,248,3708.467900
DN1635_polar,258,66521.399500
DN1635_polar,283,129227.107400
DN1635_polar,287,0.000000
DN1635_polar,296,327030.286500
DN1635_polar,298,676414.951400
DN1635_polar,306,15517.870800
DN1635_polar,318,0.000000
DN1635_polar,329,53056.752100
DN1635_polar,339,80177.767600
DN1635_polar,354,29520.217700
DN1635_polar,356,97099.022500
DN1635_polar,368,0.000000
DN1635_polar,378,0.000000
DN1635_polar,402,10399.034600
DN1635_polar,412,0.000000
DN1635_polar,438,0.000000
DN1635_polar,442,5253.091200
DN1635_polar,452,51991.048600
DN1635_polar,454,204633.332900
DN1635_polar,466,57080.620800
DN1635_polar,473,14355.193000
DN1635_polar,475,0.000000
DN1635_polar,534,0.000000
DN1635_polar,541,0.000000
DN1635_polar,548,55267.617700
DN1635_polar,553,52567.117500
DN1635_polar,570,34907.231800
DN1635_polar,571,15412.800500
DN1635_polar,577,603526.661200
DN1635_polar,593,20974.363800
DN1635_polar,603,0.000000
DN1635_polar,638,0.000000
DN1635_polar,639,20709.649800
DN1635_polar,661,0.000000
DN1635_polar,723,69657.500700
DN1635_polar,729,10509.994600
DN1635_polar,766,13639.876900
DN1635_polar,875,0.000000
DN1635_polar,894,0.000000
DN1635_polar,997,0.000000
DN1635_polar,1008,0.000000
DN1635_polar,1009,0.000000
DN1635_polar,1029,0.000000
DN1635_polar,1047,6001.852900
DN1635_polar,1051,0.000000
DN1635_polar,1070,0.000000
DN1635_polar,1071,0.000000
DN1635_polar,1113,0.000000
DN1635_polar,1200,23087.645100
DN1635_polar,1211,12905.304000
DN1635_polar,1232,0.000000
DN1635_polar,1233,5329.205100
DN1635_polar,1365,13187.468500
DN1635_polar,1407,20354.947400
DN1635_polar,1449,0.000000
DN1635_polar,1458,9243.246500
DN1635_polar,1473,2679.905700
DN1635_polar,1512,0.000000
DN1635_polar,1513,0.000000
DN1635_polar,1514,3201.236600
DN1635_polar,1525,0.000000
DN1635_polar,1526,17450.629700
DN1635_polar,1527,0.000000
DN1635_polar,1528,0.000000
DN1635_polar,1641,0.000000
DN1635_polar,1675,20153.082000
DN1635_polar,1764,43311.192100
DN1439_polar,22,61029.686000
DN1439_polar,67,495968.995000
DN1439_polar,87,5360.808000
DN1439_polar,93,109829.681200
DN1439_polar,100,289041.879600
