compound_sample,compound_number,TIC
LA8_644_2,1840,10369.710632
LA8_644_2,1879,50327.413727
LA8_644_2,1951,28724.709412
LA8_644_2,2098,22606.722137
LA8_644_2,2114,15553.064713
LA8_644_2,2128,69032.696899
LA8_644_2,2224,2831.843445
LA8_644_2,2261,8629.959183
LA8_644_2,2280,2585.505066
LA8_644_2,2292,30193.959930
LA8_644_2,2300,13858.391968
LA8_644_2,2388,20926.312073
LA8_644_2,2407,13651.250549
LA8_644_2,2410,230738.526855
LA8_644_2,2446,23905.061646
LA8_644_2,2479,8287.825409
LA8_644_2,2502,125068.775238
LA8_644_2,2559,12272.663483
LA8_644_2,2663,8324.335083
LA8_644_2,2701,14604.274475
LA8_644_2,2721,859.183838
LA8_644_2,2810,14647.376709
LA8_644_2,2816,15981.430817
LA8_644_2,2858,17593.770416
LA8_644_2,2889,6068.264587
LA8_644_2,2931,28887.515015
LA8_644_2,3014,3413.160400
LA8_644_2,3030,1642.930054
LA8_644_2,3043,4753.648071
LA8_644_2,3084,1759.593750
LA8_644_2,3110,4040.223465
LA8_644_2,3154,4581.175354
LA8_644_2,3266,2179.672089
LA8_644_2,3271,8434.733765
LA8_644_2,3310,5412.362549
LA8_644_2,3342,9082.086624
LA8_644_2,3352,36798.322632
LA8_644_2,3388,23688.767822
LA8_644_2,3404,2900.363037
LA8_644_2,3453,1522.467407
LA8_644_2,3550,6579.693771
LA8_644_2,3561,2232.796509
LA8_644_2,3563,2439.742111
LA8_644_2,3580,2181.612946
LA8_644_2,3585,11694.647522
LA8_644_2,3589,8375.752213
LA8_644_2,3610,3713.369446
LA8_644_2,3612,22060.751648
LA8_644_2,3615,251589.725098
LA8_644_2,3655,16147.130371
LA8_644_2,3662,2560.857483
LA8_644_2,3707,1340.645538
LA8_644_2,3755,3853.862885
LA8_644_2,3780,4183.797104
LA8_644_2,3786,6579.693771
LA8_644_2,3797,4712.970612
LA8_644_2,3826,5973.213867
LA8_644_2,3831,1760.026428
LA8_644_2,3836,9898.684570
LA8_644_2,3854,2267.539185
LA8_644_2,3858,1437.241943
LA8_644_2,3869,8020.481171
LA8_644_2,3901,9898.374512
LA8_644_2,3905,9059.233719
LA8_644_2,3910,127091.321777
LA8_644_2,3922,35840.755493
LA8_644_2,3927,3034.213806
LA8_644_2,3952,19844.121155
LA8_644_2,4029,1312.146729
LA8_644_2,4073,10944.296326
LA8_644_2,4083,6519.877686
LA8_644_2,4097,2852.163269
LA8_644_2,4106,7990.522812
LA8_644_2,4113,2513.202637
LA8_644_2,4154,2555.374146
LA8_644_2,4157,4753.648071
LA8_644_2,4176,7927.125671
LA8_644_2,4260,3019.359985
LA8_644_2,4272,4096.464233
LA8_644_2,4381,19862.316284
LA8_644_2,4435,290798.311157
LA8_644_2,4437,1977.683929
LA8_644_2,4463,17216.489990
LA8_644_2,4510,36841.060608
LA8_644_2,4518,6475.567322
LA8_644_2,4521,8039.363647
LA8_644_2,4525,1130.880737
LA8_644_2,4580,28856.523560
LA8_644_2,4589,1624.616211
LA8_644_2,4636,6259.105042
LA8_644_2,4642,170279.421997
LA8_644_2,4684,7022.971588
N15_1795,617,87072.968750
N15_1795,845,32663.940094
N15_1795,868,38974.915649
N15_1795,1068,337518.002304
N15_1795,1180,34505.057861
N15_1795,1200,37726.851563
N15_1795,1280,136240.103378
N15_1795,1661,22762.201141
N15_1795,1873,14515.977966
N15_1795,2128,6839.093903
N15_1795,2782,8205.726013
N15_1795,2900,5538.487213
N15_1795,2967,5322.798157
N15_1795,3053,41218.902710
N15_1795,3055,52513.424316
N15_1795,3062,4226.747284
N15_1795,3081,1678.720093
N15_1795,3116,51586.855804
N15_1795,3139,13249.194336
N15_1795,3170,2844.344849
N15_1795,3294,30898.881653
N15_1795,3352,9665.055054
N15_1795,3371,6870.018433
N15_1795,3384,32422.365723
N15_1795,3505,38142.253357
N15_1795,3579,426.000000
N15_1795,3613,15570.114014
N15_1795,3623,3134.948914
N15_1795,3673,11859.535690
N15_1795,3719,2018.935638
N15_1795,3780,220086.281250
N15_1795,3845,7885.112213
N15_1795,3903,3550.138916
N15_1795,3942,31809.071991
N15_1795,3958,7475.162384
N15_1795,4073,1910.463074
N15_1795,4102,1401.023071
N15_1795,4155,33204.561035
N15_1795,4247,19590.319153
N15_1795,4402,14862.524933
N15_1795,4451,3668.806870
N15_1795,4463,1118.801575
N15_1795,4569,12832.655914
N15_1795,4628,10333.069107
N15_1795,4642,96899.672119
IngU_1402_2,139,1064901.841476
IngU_1402_2,291,251045.912888
IngU_1402_2,494,61629.844009
IngU_1402_2,570,277207.638184
IngU_1402_2,604,176292.332306
IngU_1402_2,639,180331.493393
IngU_1402_2,687,42461.497055
IngU_1402_2,729,218250.310150
