compound_number,feature_number,TIC,mz,rt
9,1079,2163.374240,876.416200,5.776400
9,1084,8821.045520,878.918600,5.774600
9,1085,8433.457180,879.423000,5.765550
9,1086,3608.633600,879.924650,5.770850
9,1092,22460.896700,884.917700,5.780000
9,1094,20921.869900,885.419600,5.780000
9,1097,10487.456820,885.921100,5.776400
9,1104,51951.165560,893.922400,5.780000
9,1105,46711.349420,894.423900,5.780000
9,1107,20972.853520,894.926100,5.780000
9,1109,5490.074600,895.428300,5.776500
9,1130,5290.110960,917.429400,5.774600
9,1131,1872.030620,917.928300,5.772800
10,869,160613.418420,824.482056,3.652163
10,872,21058.051180,825.486451,3.643327
10,1861,235165.914000,867.476636,4.097309
10,2913,397658.446300,823.485500,3.850150
10,2922,135108.037850,867.474000,3.844900
10,2923,57951.955560,868.477600,3.844900
10,2925,29038.290740,869.486000,3.846600
10,2927,2880.961620,870.491800,3.841200
10,2953,5803.171200,1001.498000,3.841200
10,2955,648.458320,1002.495500,3.837600
10,2995,1665.210720,1338.735800,3.844700
10,2996,8300.663560,1339.237100,3.837600
10,2997,5438.994780,1339.738200,3.837600
10,2998,1474.166540,1340.242800,3.837600
11,865,20012.807420,778.474075,5.644725
11,884,13511.470400,859.495067,5.625467
11,885,3383.423080,860.501250,5.631650
11,902,103224.563660,988.542300,5.622129
11,922,21717.419640,1411.795440,5.626400
11,923,18098.627060,1412.299140,5.624600
11,986,43472.016660,941.531040,5.622040
11,988,1847562.649033,986.533381,5.606674
11,989,782476.877757,987.538171,5.616744
11,1003,7179.384280,1411.293100,5.589450
11,1865,131553.201210,940.527959,5.627570
11,3202,18709.640840,859.997933,5.647067
11,3291,2826.199340,779.474500,5.618500
11,3299,1351.298500,1412.793600,5.604200
11,987,896.839360,963.529000,5.592400
11,1005,1831.453380,1434.807500,5.592400
11,1006,1459.670420,1435.304000,5.592400
11,3476,705.761420,1412.805300,5.716800
11,2858,1945.760400,1003.529300,5.615600
11,2859,503.371060,1074.562600,5.590600
11,599,1454.290280,497.752529,5.656968
11,900,6941.633300,987.538023,5.094618
12,4,1952.002320,128.958770,3.579173
12,692,609670.078360,241.034140,3.711020
12,693,100421.083200,241.536317,3.662617
12,694,135628.535120,317.038888,3.752188
12,704,107066.518840,635.087812,3.685587
12,1770,150935.812080,336.016200,3.535733
12,1771,26270.759720,336.518000,3.537033
12,2562,7173.740800,242.037600,3.546200
12,2565,20620.572780,317.540700,3.546100
12,2566,2848.310140,318.042400,3.542800
12,2568,10995.973440,337.017400,3.544650
12,2570,8227.857540,377.996350,3.544800
12,2571,737.323520,378.498100,3.550200
12,2594,2333.625700,673.045400,3.535500
12,706,11986.026900,636.091300,3.784200
12,228,785.982420,483.077736,3.856599
13,1041,7426.799140,837.894800,5.397400
13,1042,5585.100220,838.397200,5.402800
13,1063,6840.375120,862.920400,5.415300
13,1073,5961.005220,871.422400,5.422300
13,1080,25506.440420,876.919300,5.415400
13,1081,23340.055620,877.420900,5.420700
13,1082,9578.330460,877.922100,5.415200
13,1083,2298.431020,878.423800,5.408100
13,1096,185698.067400,885.922400,5.418900
13,1098,156018.134420,886.424000,5.415300
13,1099,81784.973340,886.926500,5.415400
13,1100,23803.107480,887.424850,5.423150
13,1125,24488.389680,908.925700,5.419000
13,1127,22617.459720,909.427200,5.418800
14,90,154315.383113,1055.485578,7.063052
14,1356,2903.418100,1022.976925,6.967950
14,1357,2372.393960,1023.474150,6.929550
14,1360,4962.340660,1032.485850,6.930600
14,1368,6206.347480,1045.978200,6.938500
14,1369,6874.088820,1046.480350,6.927050
14,1370,820.333860,1046.982900,6.925250
14,1379,17252.188060,1056.488900,6.948100
14,1461,72010.203373,1055.987544,7.005111
14,1781,703.711580,1023.981400,6.932900
14,1782,5347.437700,1031.982900,6.998100
14,1783,1785.309540,1032.982000,6.940000
14,1787,133301.139520,1054.984800,6.980467
14,1789,494.190580,1056.987700,6.932800
14,37,3527.466933,223.045228,7.097216
15,435,210622.488940,197.129283,3.547817
15,439,6920645.609760,215.139740,3.545260
15,440,5185.251080,215.213300,3.550250
15,442,587038.648040,216.142788,3.547325
15,443,7832.056400,217.145200,3.557350
15,447,264188.941000,299.100675,3.553325
15,448,3014.736780,300.106100,3.536400
15,452,535775.192940,469.244114,3.547229
15,453,56033.213680,470.247325,3.547750
15,454,9231.873860,471.244950,3.555700
15,461,21670.665520,723.348500,3.550350
15,462,1840.175040,724.351800,3.525300
15,466,2298.350540,977.453500,3.528900
15,3379,2635.457500,431.287900,3.587500
15,2685,646.144880,553.205650,3.557050
15,862,10262.171800,609.146175,3.553750
15,1569,9213.042220,603.136200,3.546100
16,2487,3931.815320,831.396100,6.677300
16,2489,3419.090700,831.898200,6.684600
16,2498,189770.142560,854.399000,6.684500
16,2499,157887.980460,854.901600,6.684600
16,2500,69134.903180,855.402900,6.684600
16,2502,13098.232180,855.904400,6.680600
16,2521,55228.178180,874.913200,6.706000
16,2522,44666.240100,875.415800,6.709500
16,2525,19048.319080,875.918200,6.706000
16,2526,1649.865700,876.417500,6.709500
16,2527,26396.066220,877.402300,6.666500
16,2528,26932.621480,877.905200,6.680900
16,2529,9727.432420,878.404200,6.669900
17,52,1485383.619081,342.111239,6.134693
17,53,70019.666410,343.112945,6.148326
17,57,843146.798069,387.113288,6.140113
17,58,9757.493873,388.116979,6.159460
17,63,1052063.677983,683.223771,6.140655
17,64,106267.288755,684.227792,6.158851
17,65,720.085060,685.230067,6.162617
17,215,23954939.921390,341.107504,6.123321
17,325,25332.139340,179.055205,6.152689
17,679,1154.012500,1025.344050,6.173500
17,681,815354.720473,165.039802,6.139527
17,1896,156726.077607,332.076421,6.201621
17,51,11875.194115,341.147270,6.151610
17,597,33458.190315,486.182577,6.105947
17,855,51044.783312,487.179114,6.080484
17,1637,39643.077620,186.076158,6.218845
17,3559,4692.817900,572.182500,6.070900
17,1697,8113.711825,147.029316,6.096112
17,2236,109774.736053,133.013343,6.118520
17,1423,3585.307800,1164.016550,6.107800
17,1425,2347.363000,1165.023650,6.109500
17,279,21051.442875,355.066070,6.341137
17,1897,74168.507393,484.088389,6.139311
17,2147,3562.461400,333.078700,6.156200
17,833,68380.177960,217.034892,6.122250
17,1644,885.279380,345.044869,6.143907
17,3231,28190.531900,155.033882,6.113273
17,3232,9385.366500,199.023727,6.121809
17,589,520.639880,236.076550,6.186700
17,1258,5351.837067,474.182650,6.132637
17,663,15305.896920,533.170975,6.114725
17,2764,581.248440,534.175700,6.124900
17,20,11990.137367,173.092795,6.126725
17,1257,1927.850860,149.027133,6.093033
17,193,22073.161533,145.064326,5.906776
17,1753,84054.148950,288.087133,6.145333
17,200,16987.420267,191.055259,5.734304
17,24,1179.327925,191.019004,6.340078
17,33,4430.501845,209.029955,6.123303
17,508,677.023840,377.084467,6.139783
17,1504,3868.521378,683.235100,6.085500
17,1339,56668.663780,332.076254,5.794485
17,1256,11663.103630,132.065495,6.124800
17,391,7131.570440,177.039400,6.174633
17,1592,8203.981040,681.122700,6.154900
17,1595,2094.273500,682.124500,6.153100
17,3127,120192.821100,191.054826,6.148800
18,24,30565.278940,191.019004,6.340078
18,51,10919.557080,341.147270,6.151610
18,52,770315.108500,342.111239,6.134693
18,53,69716.120720,343.112945,6.148326
18,54,2546.939800,356.068813,6.311987
18,57,657025.294702,387.113288,6.140113
18,58,16789.981420,388.116979,6.159460
18,60,97612.056340,515.209250,6.137150
18,61,10366.608420,516.211800,6.136400
18,63,1010482.211262,683.223771,6.140655
18,64,129025.834753,684.227792,6.158851
18,65,7078.941080,685.230067,6.162617
18,1645,3649.731820,346.049000,6.208000
18,1648,2949.943140,687.162200,6.180800
18,1649,970.166120,691.101700,6.195000
18,508,3609.359280,377.084467,6.139783
18,520,18638.815820,160.060793,5.963176
18,679,1927.246320,1025.344050,6.173500
18,279,22510.472300,355.066070,6.341137
18,325,7104.137920,179.055205,6.152689
18,571,4701.426740,684.099233,6.009894
18,681,10184.827460,165.039802,6.139527
18,33,3710.613040,209.029955,6.123303
18,597,1716.146575,486.182577,6.105947
19,223,98117.403000,391.105078,4.073225
19,241,18772.911040,625.046683,3.875728
19,643,29511.858280,236.013252,4.105400
19,647,12359.276380,312.519620,4.206440
19,651,2560.795220,392.108333,4.081300
19,671,447853.628240,777.057755,4.115964
19,1746,22227.007900,169.013324,3.943505
19,1757,69046.138130,312.018030,4.222882
19,1765,52677.071600,778.061465,4.110541
19,3145,3369.626340,779.064900,4.063950
19,3370,1321.952680,455.024300,4.080800
19,3371,892.371480,626.051800,4.088000
19,650,4796.947900,390.108550,4.079600
19,659,5008.498660,483.077800,4.191967
19,666,29025.413320,635.088177,4.075995
19,667,2751.950840,636.092100,4.021650
19,1747,2930.531200,169.013341,4.413323
20,869,14631888.800007,824.482056,3.652163
20,872,6312498.642330,825.486451,3.643327
20,874,1313528.542600,826.487454,3.625335
20,875,90117.562240,827.493359,3.625376
20,912,31017.350240,1168.716238,3.648803
20,915,12361.388420,1191.220720,3.673640
20,996,17205.767620,1168.217260,3.649560
20,997,31389.335120,1191.721003,3.651965
20,1676,17758.388140,1192.222620,3.657380
20,2650,14430.003680,1169.218500,3.652000
20,2651,1234.347320,1169.718100,3.655500
20,2655,2405.375300,1192.725050,3.692100
20,871,39034.751260,824.548100,3.623807
20,889,171840.692860,908.443253,3.584257
20,890,34719.676240,909.447325,3.584575
20,891,2213.975860,910.450000,3.601175
20,2851,1583.252160,720.450500,3.649800
20,4,49287.581380,128.958770,3.579173
20,327,5650.982100,296.880520,3.580753
21,195,59418.442460,160.008578,4.803822
21,196,70220.092530,171.029056,4.801405
21,216,1245101.367600,343.065769,4.668520
21,218,83714.969440,344.069367,4.926024
21,229,7872559.763510,495.076574,4.868554
21,231,8006.633120,495.125011,4.699950
21,233,1284600.396210,496.080033,4.818795
21,236,104044.391350,497.082933,4.724292
21,258,910707.660350,991.163805,4.764471
21,262,46530.992300,993.170404,4.698782
21,678,229673.021070,992.167743,4.785918
21,1774,201260.476840,169.013426,4.707049
21,2782,44030.816560,839.151740,4.662700
21,2783,5982.110880,840.156025,4.653975
21,2787,94082.948680,992.168800,4.662000
21,198,28650.226000,173.044884,4.820942
21,263,3326.716360,1143.176956,4.757100
21,242,20169.633260,647.087325,4.922702
21,243,798.795980,648.091204,4.909090
21,2208,589.451780,497.083900,5.120300
21,2210,4770.083580,839.153400,5.119900
22,2,736803.895555,115.003045,4.043695
22,8,4400734.059960,133.013427,4.039863
22,1521,179733.181590,955.507100,5.449000
22,1522,11691.806680,955.986342,5.449968
22,1523,10587.824175,956.005000,5.450700
22,1524,88105.777910,956.507279,5.460286
22,1666,4678.388800,500.241233,5.446500
22,1667,1997.577920,500.743150,5.449050
22,1672,52065.937840,955.490840,5.425240
22,1673,1450.095740,956.988200,5.455900
22,1674,3975.664620,957.495767,5.448767
22,1678,1761.534700,1434.243450,5.455750
22,476,2750.217325,611.162424,5.438197
22,1665,36497.128610,146.045222,4.023526
22,892,171270.278500,928.495646,3.996357
22,893,53009.894540,929.497650,4.046350
22,894,7664.825920,930.501200,4.046000
22,916,13218.858780,1192.208627,4.026482
22,305,20590.927418,128.034637,4.060033
22,484,39689.517920,897.151733,4.112867
22,556,5047.742600,319.045200,4.078400
22,580,12381.188460,898.158150,4.084550
22,27,5836.746400,203.082357,3.923833
22,40,547192.110887,245.092522,4.038025
22,42,8496.436380,246.095780,4.043847
22,62,1223.459720,579.172715,4.021962
22,273,59097.538060,172.097626,4.008709
22,927,2940.323080,130.086806,3.851360
22,463,3475.303240,865.198653,4.160192
22,465,917.448420,866.201980,4.141538
22,47,787.655840,282.083724,3.781295
22,228,1145.129100,483.077736,3.856599
22,2617,4121.531780,115.002300,3.731767
22,930,14828.526510,181.071237,4.043941
22,1337,693.008820,275.022650,4.060100
22,1262,17887.686200,167.000900,4.015075
22,28,48680.129880,206.081738,4.118879
22,1698,1667.146025,193.051380,4.123400
22,3463,470.833180,954.558400,4.014300
22,279,1625.466800,355.066070,6.341137
22,696,3439.700140,332.069733,3.924400
23,27,3155.686400,203.082357,3.923833
23,892,5418.743340,928.495646,3.996357
23,3312,32898.666180,486.245900,3.834400
23,3313,11187.142540,486.748700,3.838000
23,3346,946.507520,766.448200,3.830700
23,3347,823.886220,846.968000,3.837800
23,3348,13031.232500,927.496950,3.933550
23,3349,4094.249220,927.997300,3.834300
23,3351,76745.848020,973.505250,3.935200
23,3352,30315.951740,974.508800,3.841400
23,3353,3696.890400,975.513300,3.841400
23,3367,559.280880,1392.755700,3.834300
24,557,350233.435980,331.066065,3.835916
24,666,29111.487040,635.088177,4.075995
24,672,53481.088760,788.102533,3.945933
24,692,96085.931800,241.034140,3.711020
24,694,413202.908080,317.038888,3.752188
24,696,11238.937300,332.069733,3.924400
24,1768,101320.503020,317.540300,3.772900
24,1769,11268.226380,318.042033,3.869767
24,1772,43658.819960,393.044667,3.872933
24,1773,253794.610040,787.099175,3.935425
24,2573,2690.315400,393.547300,3.893500
24,693,1590.231040,241.536317,3.662617
24,1746,837.404480,169.013324,3.943505
24,3228,2068.562940,637.094700,3.888800
25,206,301937.372800,247.034251,4.880156
25,207,24268.071440,247.536063,4.916975
25,213,257747.581800,323.540855,4.978518
25,242,76782.544480,647.087325,4.922702
25,244,1536.162280,649.094019,4.909053
25,255,1094281.904180,800.102568,5.050315
25,256,160591.698920,801.105162,4.967438
25,648,1167570.850150,323.038699,5.017365
25,673,3641883.452550,799.098969,5.074988
25,1183,4685.493260,191.055417,4.953868
25,2202,17459.355460,324.042083,4.996317
25,229,152725.840380,495.076574,4.868554
25,233,10677.404180,496.080033,4.818795
25,257,20697.541720,952.114224,5.136816
25,654,66667.959960,399.043920,5.153120
25,1180,89878.513560,951.110978,5.171128
25,2204,20399.793200,399.545790,5.162080
25,2205,1348.921480,400.046683,5.090583
25,2211,849.476060,953.117740,5.097200
25,3147,1482.667700,802.106000,5.005400
25,2116,8117.527800,455.023856,5.076744
26,775,13895.467487,1054.476682,7.393194
26,778,271833.836843,1062.982004,7.392037
26,779,294534.891422,1063.482667,7.397078
26,780,42325.723020,1064.486986,7.382318
26,1358,7358.788520,1030.975800,7.316300
26,1359,1403.871260,1032.479600,7.314400
26,1362,14228.944913,1039.979423,7.365077
26,1363,14636.021440,1040.482423,7.359069
26,1364,6285.710200,1040.984100,7.314500
26,1375,9578.346420,1053.976077,7.356123
26,1383,133046.054813,1063.984474,7.365835
26,747,22475.872167,963.936115,7.525538
26,748,20653.912300,964.438277,7.526377
26,749,10078.194767,964.939538,7.516838
26,1457,3826.665827,1031.475237,7.467750
26,46,50672.533720,267.071272,7.395978
26,751,2825.332925,965.439300,7.512900
27,1374,1977.606500,1052.482800,6.847550
27,1380,4391.752920,1060.987275,6.803850
27,1381,5373.299520,1061.485700,6.811250
27,1382,2356.413280,1061.990933,6.863067
27,1387,3612.940160,1074.983925,6.803425
27,1388,5510.064040,1075.485700,6.858667
27,1394,168355.536360,1083.988400,6.824414
27,1395,202747.124960,1084.489508,6.827955
27,1396,79383.734900,1084.991071,6.825614
27,1397,19264.631640,1085.493860,6.785460
27,1409,2464.553800,1127.516500,6.711200
27,1794,854.880320,1075.986700,6.889900
27,13,7880.432940,160.060669,6.690766
27,5,14841.904000,131.045551,6.699534
27,49,1115.735440,323.097536,6.663328
27,1785,3917.749720,1051.978200,6.904500
28,1030,2560.922560,822.404600,5.324000
28,1031,1875.629020,823.881800,5.313300
28,1036,6449.590720,830.400100,5.318700
28,1037,27926.942880,835.898600,5.316800
28,1038,23292.114200,836.400100,5.315000
28,1039,8920.836500,836.903500,5.316800
28,1040,1565.616040,837.409400,5.309700
28,1046,167542.691600,844.902000,5.112000
28,1048,142123.117840,845.404500,5.316800
28,1050,63463.702840,845.906900,5.316800
28,1051,17017.733380,846.408000,5.313300
29,1703,46922.775160,559.272956,5.089111
29,1704,22421.827240,559.775033,5.089122
29,1716,12755.154860,1073.551500,5.080733
29,1719,5260.074840,1119.566064,5.132021
29,2295,5597.872960,1074.053700,5.096550
29,2298,2048.437380,1120.570300,5.089400
29,3322,80863.447880,536.270600,4.963300
29,3323,40265.791360,536.772400,4.961800
29,3324,10571.574040,537.273500,4.950000
29,3330,2294.729920,560.278300,4.980500
29,3357,5183.677380,1074.557100,4.953600
30,899,765436.317373,986.534328,5.046884
30,900,353907.467280,987.538023,5.094618
30,1520,57689.817900,940.526048,4.925779
30,1843,9857.888520,778.476500,5.020850
30,1859,4544.813380,859.496633,5.022267
30,1860,6179.814880,860.002600,5.023350
30,1866,19043.833660,941.530067,5.023867
30,2621,24795.205520,515.764300,5.055650
30,2622,5895.877660,516.266700,5.053600
30,2639,2661.831320,941.025650,5.056550
30,901,65208.250800,988.542630,5.088330
30,1981,2666.556700,1411.795400,5.089500
30,896,1022.105200,957.531000,5.090700
31,343,8651.586920,854.921100,4.986600
31,349,119403.338520,877.925150,4.971900
31,350,103709.755000,878.427100,4.972100
31,351,45277.929440,878.928850,4.971350
31,352,9907.844980,879.429600,4.960850
31,1261,3950.255480,152.985476,4.987339
31,2481,2975.244040,823.395950,5.051750
31,2501,2617.917200,855.423600,4.998400
31,2543,4919.472560,900.926700,4.991000
31,2544,3523.904720,901.429000,4.991000
31,344,2313.938180,855.928200,4.956700
32,123,54693.013217,1113.010214,7.963100
32,124,33877.527172,1114.009426,8.007904
32,790,19148.203972,1104.504518,7.907229
32,795,79300.094507,1113.510873,7.880818
32,810,25604.201733,1136.015445,7.879241
32,811,30359.748820,1136.515024,7.892059
32,812,13408.087440,1137.015767,7.933033
32,813,1728.274020,1137.518944,7.908856
32,1401,9700.896713,1104.004854,7.851708
32,1814,453.799820,1159.522000,7.802900
32,791,1880.885820,1105.011157,7.611674
32,796,2029.707180,1114.507432,7.954347
32,1398,1180.996760,1095.492900,7.778800
32,1403,8921.772500,1113.010700,7.788900
32,1404,5922.783060,1114.014900,7.785900
32,1463,3606.896167,1105.006800,8.021900
32,750,2782.625700,965.427700,8.135486
33,990,561872.150920,998.534273,3.864103
33,1936,186453.570587,999.541268,3.876732
33,2057,36648.866060,952.526550,3.834662
33,2058,11697.025200,953.529000,3.824550
33,2063,18378.111080,1000.540100,3.822950
33,2082,15549.243220,1430.306450,3.817500
33,2293,1464.561960,953.024100,3.855500
33,2302,8849.050720,1429.297600,3.844700
33,2303,19623.131580,1429.800800,3.848300
33,2304,6121.153660,1430.802400,3.839500
33,27,1835.858433,203.082357,3.923833
34,1054,2627.213020,859.898700,5.213200
34,1076,16133.013720,874.397700,5.224000
34,1087,157753.484000,882.898500,5.220500
34,1089,143801.458840,883.400800,5.220500
34,1091,67523.656440,883.902900,5.220500
34,1093,4195.055580,884.910500,5.216900
34,1119,43370.716000,905.902100,5.225800
34,1120,41968.748500,906.404700,5.220500
34,1121,19013.564700,906.905800,5.224000
34,1123,4802.536640,907.405900,5.229300
35,313,5959.412620,191.018951,5.660331
35,3334,53652.375080,609.300100,5.410000
35,3335,31783.473000,609.802800,5.423600
35,3338,42377.969420,632.303100,5.422200
35,3339,22772.985560,632.806000,5.418600
35,3340,6548.678700,633.305600,5.406400
35,3341,1050.351960,633.807200,5.410000
35,3364,4517.355360,1219.612700,5.413600
35,3365,3467.105260,1220.113700,5.410000
35,3366,3641.445580,1220.614800,5.413600
36,1506,22894.791780,748.846732,7.965721
36,1507,7723.683900,749.346837,7.971432
36,1535,136385.424530,1498.718711,7.964542
36,1537,68713.566910,1499.720893,7.962343
